profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,14.84443359375,14.01708984375,19.06494140625,19.84541015625
extract-frames,Lowest-Latency,2.69697265625,2.70654296875,3.51611328125,3.59697265625
extract-frames,Random,12.6400390625,14.32080078125,18.9966796875,19.9001171875
extract-frames,Round-Robin,11.3419921875,12.1630859375,14.13623046875,14.14873046875
extract-frames,SLO-first,1.88408203125,1.9423828125,1.95947265625,1.96259765625
object-det,Best-Acc,14.59423828125,13.7109375,21.8572265625,22.5237890625
object-det,Lowest-Latency,3.2849609375,3.1357421875,5.38623046875,5.73076171875
object-det,Random,11.7435546875,12.62939453125,14.6822265625,14.7434765625
object-det,Round-Robin,10.43916015625,11.13720703125,12.66767578125,12.83080078125
object-det,SLO-first,2.14130859375,2.18017578125,2.31025390625,2.32220703125
prepare-ds,Best-Acc,17.7978515625,16.5966796875,24.55810546875,24.61552734375
prepare-ds,Lowest-Latency,3.3205078125,3.6142578125,4.3951171875,4.4212109375
prepare-ds,Random,10.66884765625,8.46630859375,16.75634765625,17.19228515625
prepare-ds,Round-Robin,12.49716796875,11.2734375,17.924999999999997,19.2084375
prepare-ds,SLO-first,1.97890625,1.7958984375,2.57822265625,2.70119140625
