run,strategy,profile,stitch_id,acc,latency_ms,net_base_ms,hop_count,payload_mb,link_mb,compute_ms,net_latency_ms,met_slo,met_dual_slo,selection_time_ms,ssp_calls
0,SLO-first,extract-frames,3,89.01,770.0,770.0,19,1.19775390625,2.85302734375,0.0,770.0,False,True,29.244999999999965,360.0
0,Best-Acc,extract-frames,1,90.47,4086.4243619598824,,94,1.58056640625,20.40380859375,4086.4243619598824,4086.4243619598824,False,,2.7547909999999787,
0,Lowest-Latency,extract-frames,7,82.24,731.7916227846396,,15,1.24560546875,2.6826171875,731.7916227846396,731.7916227846396,False,,50.60349999999997,
0,Random,extract-frames,5,86.76,3699.830558018557,,84,1.38916015625,16.22265625,3699.830558018557,3699.830558018557,False,,3.3791670000000162,
0,Round-Robin,extract-frames,5,86.76,3167.5861338513355,,76,1.38916015625,15.87451171875,3167.5861338513355,3167.5861338513355,False,,1.7483329999999908,
0,SLO-first,object-det,3,89.01,465.0,465.0,11,1.19775390625,1.77197265625,0.0,465.0,False,True,56.80837500000002,1168.0
0,Best-Acc,object-det,1,90.47,3027.4753957482235,,69,1.58056640625,11.50341796875,3027.4753957482235,3027.4753957482235,False,,2.2730829999999536,
0,Lowest-Latency,object-det,7,82.24,624.4748637434417,,13,1.24560546875,1.9169921875,624.4748637434417,624.4748637434417,False,,22.90562499999993,
0,Random,object-det,6,84.74,2917.358084210455,,68,1.24560546875,12.0283203125,2917.358084210455,2917.358084210455,False,,2.948125000000079,
0,Round-Robin,object-det,4,88.07,2529.9085053369677,,56,1.05419921875,12.27197265625,2529.9085053369677,2529.9085053369677,False,,1.9149579999999666,
0,SLO-first,prepare-ds,3,89.01,510.0,510.0,13,1.19775390625,1.91552734375,0.0,510.0,False,True,33.13187499999992,448.0
0,Best-Acc,prepare-ds,1,90.47,2901.1343214273224,,64,1.58056640625,15.87158203125,2901.1343214273224,2901.1343214273224,False,,2.1043330000000138,
0,Lowest-Latency,prepare-ds,4,88.07,556.3779931919167,,10,1.05419921875,1.89306640625,556.3779931919167,556.3779931919167,False,,99.58604199999999,
0,Random,prepare-ds,6,84.74,2613.4706350575557,,59,1.24560546875,13.97998046875,2613.4706350575557,2613.4706350575557,False,,2.381375000000019,
0,Round-Robin,prepare-ds,7,82.24,4047.2944679638936,,95,1.24560546875,16.01806640625,4047.2944679638936,4047.2944679638936,False,,2.503791999999949,
