profile,strategy,slo_violation_pct_task_slo
extract-frames,Best-Acc,214.20052792080006
extract-frames,Lowest-Latency,0.0
extract-frames,Random,189.63441982929103
extract-frames,Round-Robin,225.55331577075557
extract-frames,SLO-first,0.0
object-det,Best-Acc,196.55505340282016
object-det,Lowest-Latency,0.0
object-det,Random,187.33172154746904
object-det,Round-Robin,215.62540088918644
object-det,SLO-first,0.0
prepare-ds,Best-Acc,257.7736375434818
prepare-ds,Lowest-Latency,0.0
prepare-ds,Random,190.05203247913204
prepare-ds,Round-Robin,210.09027204775458
prepare-ds,SLO-first,0.0
