strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99
Best-Acc,9227.78099227086,8914.59014652804,10771.921500375545,10947.613508897643,90.47,4.74169921875,4.74169921875,4.74169921875,4.74169921875,40.87734375,38.71875,50.72607421875,50.76123046875,210.4,212.0,242.4,246.08
Lowest-Latency,1907.5744935108328,1990.905419949552,2020.5907663195512,2025.9483343499949,86.23799999999999,3.60283203125,3.54541015625,3.84208984375,3.87271484375,6.60390625,6.32666015625,7.4921875,7.591015625,42.0,43.0,45.4,45.88
Random,8190.509382163812,7881.46514305093,9834.350857238564,10170.547367957739,85.78999999999999,3.91865234375,3.88037109375,4.26318359375,4.33974609375,32.5146484375,33.9716796875,37.32744140625,37.89009765625,185.6,175.0,223.6,231.12
Round-Robin,8487.172306817609,8629.401422630392,9191.17974317211,9252.233428664065,82.74,3.75595703125,3.73681640625,3.88037109375,3.88037109375,34.8833984375,35.48095703125,43.28076171875,44.81201171875,193.2,199.0,211.2,213.44
SLO-first,1455.0,1495.0,1515.0,1519.0,89.59400000000001,3.74638671875,3.59326171875,3.97607421875,3.97607421875,6.48583984375,6.80078125,7.21201171875,7.24552734375,37.2,39.0,40.6,40.92
