strategy,mean,median,p95,p99
Best-Acc,219.8,236.0,245.6,246.72
Lowest-Latency,48.8,47.0,56.199999999999996,57.64
Random,217.4,220.0,250.6,256.52
Round-Robin,187.6,185.0,206.6,210.92
SLO-first,37.0,37.0,39.8,39.96
