strategy,mean,median,p95,p99
Best-Acc,37.42822265625,37.42822265625,37.42822265625,37.42822265625
Lowest-Latency,8.7177734375,8.7177734375,8.7177734375,8.7177734375
Random,41.23681640625,41.23681640625,41.23681640625,41.23681640625
Round-Robin,34.59130859375,34.59130859375,34.59130859375,34.59130859375
SLO-first,5.8916015625,5.8916015625,5.8916015625,5.8916015625
