run,strategy,stitch_id,met_slo,utility,latency_ms,payload_mb,link_mb,hop_count,acc,profile
0,SLO-first,4,False,-113.00245507351129,8138.646790965092,1.05419921875,16.599609375,98,93.86,fast
0,Best-Acc,1,False,,11863.901111484081,1.58056640625,30.5244140625,146,95.16,fast
0,Lowest-Latency,6,False,,7234.018734558922,1.24560546875,13.294921875,82,94.59,fast
0,Random,6,False,,9265.97552409679,1.24560546875,16.63232421875,111,94.59,fast
0,Round-Robin,1,False,,11338.780427681162,1.58056640625,25.7138671875,137,95.16,fast
1,SLO-first,7,False,-111.32566734580729,8019.376238986236,1.24560546875,14.0634765625,88,94.56,fast
1,Best-Acc,1,False,,11214.109183827051,1.58056640625,22.05322265625,110,95.16,fast
1,Lowest-Latency,4,False,,6478.750241089667,1.05419921875,12.3603515625,66,93.86,fast
1,Random,3,False,,7846.645877000242,1.19775390625,13.17822265625,88,94.11,fast
1,Round-Robin,2,False,,9273.693725282448,1.77197265625,18.6484375,98,94.99,fast
2,SLO-first,3,False,-103.47860729859674,7458.5505213283395,1.19775390625,13.2666015625,80,94.11,fast
2,Best-Acc,1,False,,9167.912049568657,1.58056640625,17.8916015625,98,95.16,fast
2,Lowest-Latency,7,False,,7520.862091988729,1.24560546875,14.92626953125,79,94.56,fast
2,Random,6,False,,8189.080857282968,1.24560546875,14.72119140625,92,94.59,fast
2,Round-Robin,3,False,,9611.287752871101,1.19775390625,19.0654296875,101,94.11,fast
3,SLO-first,3,False,-93.48778515849123,6744.9203684636595,1.19775390625,12.216796875,74,94.11,fast
3,Best-Acc,1,False,,8762.13397780777,1.58056640625,15.94921875,92,95.16,fast
3,Lowest-Latency,4,False,,6271.837608712499,1.05419921875,12.84033203125,67,93.86,fast
3,Random,6,False,,8904.180174021261,1.24560546875,16.1357421875,97,94.59,fast
3,Round-Robin,4,False,,5460.771806506042,1.05419921875,10.8740234375,57,93.86,fast
4,SLO-first,4,False,-93.89141266181417,6773.572332986727,1.05419921875,11.9296875,72,93.86,fast
4,Best-Acc,1,False,,9191.919706498635,1.58056640625,20.46826171875,114,95.16,fast
4,Lowest-Latency,4,False,,7230.844082751569,1.05419921875,12.98388671875,77,93.86,fast
4,Random,3,False,,8420.763401054932,1.19775390625,18.8994140625,109,94.11,fast
4,Round-Robin,5,False,,9959.413324287292,1.38916015625,21.9873046875,122,93.38,fast
5,SLO-first,4,False,-100.62420467214885,7254.486048010633,1.05419921875,13.31884765625,75,93.86,fast
5,Best-Acc,1,False,,11767.385674699945,1.58056640625,23.78173828125,121,95.16,fast
5,Lowest-Latency,4,False,,7139.330442084382,1.05419921875,13.65234375,72,93.86,fast
5,Random,1,False,,10792.870696500888,1.58056640625,21.123046875,107,95.16,fast
5,Round-Robin,6,False,,7666.37045933212,1.24560546875,14.03076171875,82,94.59,fast
6,SLO-first,4,False,-93.50203380045363,6745.759557175259,1.05419921875,12.04931640625,70,93.86,fast
6,Best-Acc,1,False,,9609.381617164518,1.58056640625,18.67529296875,98,95.16,fast
6,Lowest-Latency,4,False,,5343.13876517509,1.05419921875,8.75927734375,58,93.86,fast
6,Random,5,False,,8568.402180120638,1.38916015625,15.138671875,92,93.38,fast
6,Round-Robin,7,False,,10010.22235956156,1.24560546875,18.32080078125,104,94.56,fast
7,SLO-first,4,False,-88.55594688354036,6392.467634538597,1.05419921875,12.38720703125,68,93.86,fast
7,Best-Acc,1,False,,10219.113045820612,1.58056640625,24.85107421875,126,95.16,fast
7,Lowest-Latency,4,False,,6683.442661479038,1.05419921875,11.79638671875,78,93.86,fast
7,Random,7,False,,7021.439368932503,1.24560546875,11.099609375,76,94.56,fast
7,Round-Robin,1,False,,10345.334527359675,1.58056640625,26.21630859375,124,95.16,fast
8,SLO-first,3,False,-118.48176278904766,8530.204484931977,1.19775390625,17.74658203125,109,94.11,fast
8,Best-Acc,1,False,,9600.4198057708,1.58056640625,21.1904296875,114,95.16,fast
8,Lowest-Latency,4,False,,7464.747229444656,1.05419921875,15.73681640625,103,93.86,fast
8,Random,3,False,,8304.894402953669,1.19775390625,16.6669921875,108,94.11,fast
8,Round-Robin,2,False,,12012.935771292452,1.77197265625,24.728515625,139,94.99,fast
9,SLO-first,3,False,-86.15626612755717,6221.240437682656,1.19775390625,10.6884765625,67,94.11,fast
9,Best-Acc,1,False,,8858.441669434415,1.58056640625,17.54443359375,95,95.16,fast
9,Lowest-Latency,4,False,,7735.214658362444,1.05419921875,13.14208984375,86,93.86,fast
9,Random,7,False,,9027.530724316186,1.24560546875,17.14990234375,91,94.56,fast
9,Round-Robin,3,False,,8341.48543249738,1.19775390625,14.947265625,93,94.11,fast
10,SLO-first,6,False,-92.57992460474034,6680.416043195738,1.24560546875,11.8203125,86,94.59,fast
10,Best-Acc,1,False,,11343.908835152639,1.58056640625,22.06494140625,141,95.16,fast
10,Lowest-Latency,4,False,,8163.35368879038,1.05419921875,14.6748046875,109,93.86,fast
10,Random,7,False,,9463.737816265071,1.24560546875,18.5927734375,116,94.56,fast
10,Round-Robin,4,False,,7688.389143084742,1.05419921875,12.64404296875,107,93.86,fast
11,SLO-first,4,False,-98.66463111301861,7114.516508072758,1.05419921875,14.94580078125,67,93.86,fast
11,Best-Acc,1,False,,10408.859883753006,1.58056640625,20.34228515625,101,95.16,fast
11,Lowest-Latency,3,False,,7224.820152502613,1.19775390625,14.30126953125,74,94.11,fast
11,Random,1,False,,9241.608016122475,1.58056640625,17.7421875,97,95.16,fast
11,Round-Robin,5,False,,7993.620132014575,1.38916015625,13.99462890625,87,93.38,fast
12,SLO-first,4,False,-90.65646320054368,6542.504514324548,1.05419921875,11.25830078125,74,93.86,fast
12,Best-Acc,1,False,,11148.022086030116,1.58056640625,23.9150390625,120,95.16,fast
12,Lowest-Latency,4,False,,7662.078794628916,1.05419921875,17.17529296875,76,93.86,fast
12,Random,5,False,,9976.572491464529,1.38916015625,18.2490234375,106,93.38,fast
12,Round-Robin,6,False,,8886.482998285948,1.24560546875,17.20361328125,90,94.59,fast
13,SLO-first,4,False,-82.30370023393003,5945.878588137859,1.05419921875,11.1416015625,65,93.86,fast
13,Best-Acc,1,False,,9323.856711634817,1.58056640625,17.8916015625,96,95.16,fast
13,Lowest-Latency,6,False,,7727.647536683604,1.24560546875,13.3623046875,79,94.59,fast
13,Random,4,False,,6178.466368426262,1.05419921875,11.4541015625,66,93.86,fast
13,Round-Robin,7,False,,8584.261069520782,1.24560546875,16.9033203125,87,94.56,fast
14,SLO-first,4,False,-98.66688527348121,7114.677519534372,1.05419921875,12.91064453125,77,93.86,fast
14,Best-Acc,1,False,,10647.296910490402,1.58056640625,22.98193359375,106,95.16,fast
14,Lowest-Latency,3,False,,8731.980816489971,1.19775390625,15.994140625,94,94.11,fast
14,Random,4,False,,7171.330554587402,1.05419921875,11.68115234375,85,93.86,fast
14,Round-Robin,1,False,,10286.549692300327,1.58056640625,19.8369140625,118,95.16,fast
15,SLO-first,4,False,-97.3507736617849,7020.66954727035,1.05419921875,11.48388671875,75,93.86,fast
15,Best-Acc,1,False,,11636.607815805386,1.58056640625,24.63134765625,115,95.16,fast
15,Lowest-Latency,4,False,,6783.933780278502,1.05419921875,13.25146484375,73,93.86,fast
15,Random,7,False,,7318.752858108943,1.24560546875,14.63623046875,73,94.56,fast
15,Round-Robin,2,False,,12393.027860043198,1.77197265625,24.45458984375,129,94.99,fast
16,SLO-first,4,False,-105.43439205372715,7598.070860980511,1.05419921875,14.3955078125,78,93.86,fast
16,Best-Acc,1,False,,9491.752331047459,1.58056640625,17.5458984375,102,95.16,fast
16,Lowest-Latency,6,False,,8030.969805784818,1.24560546875,14.75,86,94.59,fast
16,Random,5,False,,8930.697195973185,1.38916015625,16.43359375,98,93.38,fast
16,Round-Robin,3,False,,10513.79408612039,1.19775390625,21.08251953125,107,94.11,fast
17,SLO-first,4,False,-122.23256101827921,8797.940072734229,1.05419921875,20.09716796875,110,93.86,fast
17,Best-Acc,1,False,,12602.137592253817,1.58056640625,27.5859375,146,95.16,fast
17,Lowest-Latency,4,False,,8034.102855963782,1.05419921875,22.7158203125,105,93.86,fast
17,Random,3,False,,9312.630638754621,1.19775390625,20.2392578125,122,94.11,fast
17,Round-Robin,4,False,,7142.874583798656,1.05419921875,17.455078125,90,93.86,fast
18,SLO-first,4,False,-74.10974164681834,5360.595831915595,1.05419921875,10.94873046875,57,93.86,fast
18,Best-Acc,1,False,,7830.496712025764,1.58056640625,14.0888671875,84,95.16,fast
18,Lowest-Latency,4,False,,6964.086114428841,1.05419921875,12.67431640625,75,93.86,fast
18,Random,1,False,,9165.530114976427,1.58056640625,19.18359375,93,95.16,fast
18,Round-Robin,5,False,,11307.271934919374,1.38916015625,21.98583984375,121,93.38,fast
19,SLO-first,4,False,-111.43421230806317,8026.629450575941,1.05419921875,14.40576171875,87,93.86,fast
19,Best-Acc,1,False,,10453.242994788458,1.58056640625,20.55029296875,112,95.16,fast
19,Lowest-Latency,4,False,,7616.862555971397,1.05419921875,13.3818359375,73,93.86,fast
19,Random,4,False,,8508.302847691408,1.05419921875,15.03369140625,90,93.86,fast
19,Round-Robin,6,False,,8550.476301139252,1.24560546875,15.87744140625,90,94.59,fast
20,SLO-first,4,False,-84.29041711012015,6087.786936437154,1.05419921875,10.8994140625,64,93.86,fast
20,Best-Acc,1,False,,10569.105041153794,1.58056640625,19.974609375,106,95.16,fast
20,Lowest-Latency,7,False,,8635.375911531975,1.24560546875,16.02099609375,87,94.56,fast
20,Random,4,False,,5232.003061094343,1.05419921875,9.94091796875,55,93.86,fast
