strategy,mean,median,p95,p99
Best-Acc,65.3596142578125,64.294189453125,76.95395507812499,85.28485839843749
Lowest-Latency,40.72406982421875,39.970703125,49.8122314453125,53.68698242187497
Random,56.09012939453125,55.8076171875,70.624658203125,82.46550292968749
Round-Robin,56.189111328125,55.505126953125,70.79697265624999,81.37163574218748
SLO-first,41.18135498046875,40.9716796875,48.690576171874994,52.32011230468749
