profile,strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
default,Best-Acc,10334.928973853268,10307.579570107227,12317.799622984001,13153.103730318904,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.4656591796875,20.871826171875,28.88562011718749,33.6209765625,108.5375,108.0,135.0,148.02999999999997
default,Lowest-Latency,7087.474559292851,7066.337534411524,8389.194919149304,8875.03978956078,94.04602500000001,1.11748291015625,1.05419921875,1.24560546875,1.24560546875,13.406650390625,12.9814453125,17.77839355468749,23.138505859374987,78.43,77.0,104.04999999999995,115.0
default,Random,9313.30674611014,9234.976235338127,12099.681254818926,13530.259367674436,94.39542499999999,1.35075927734375,1.24560546875,1.77197265625,1.77197265625,18.34631103515625,17.5439453125,26.45505371093748,31.911137695312497,100.9625,99.0,136.0,152.02999999999997
default,Round-Robin,9475.224238106875,9146.425477381083,12504.197686220758,13982.949914830568,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.791353759765624,17.869140625,27.80187988281249,31.63211425781249,102.0675,99.5,138.0,159.01
default,SLO-first,7154.941879764616,7170.166198115621,8344.087201005017,9109.346330116077,94.0782,1.1257373046875,1.05419921875,1.24560546875,1.24560546875,13.60814453125,13.35546875,18.696484374999994,22.41666992187499,78.9825,77.0,103.0,113.01999999999998
fast,Best-Acc,10383.065807114916,10274.4559551401,12559.38587294661,13749.44347671429,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,22.00351318359375,21.160400390625,30.460327148437496,35.344951171874996,110.595,108.0,140.0,149.01999999999998
fast,Lowest-Latency,7088.539316414268,7106.391917996465,8314.273837375427,8731.710220665429,94.052325,1.11867919921875,1.05419921875,1.24560546875,1.38916015625,13.762012939453125,13.335205078125,19.891040039062485,23.323144531249994,79.225,77.5,104.0,112.00999999999999
fast,Random,9105.123228464408,8906.90117134608,12478.79564085825,13596.552166625232,94.365,1.34130859375,1.24560546875,1.77197265625,1.77197265625,18.17578857421875,17.292724609375,27.292016601562498,31.817617187499998,99.7375,97.0,136.04999999999995,142.04999999999995
fast,Round-Robin,9317.66184007708,9207.004674933407,12027.733449399928,13384.611887686619,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.542940673828124,18.2646484375,26.858203125,31.174926757812493,101.735,100.0,137.04999999999995,149.01
fast,SLO-first,7067.854549306113,7073.730877668426,8296.240849065785,8631.229754962495,94.038975,1.11461181640625,1.05419921875,1.24560546875,1.24560546875,13.67340087890625,13.024169921875,20.106445312499993,24.4690087890625,79.635,77.0,105.0,112.00999999999999
heavy,Best-Acc,10547.582637206646,10540.418999525467,12521.777122243955,13635.214093806439,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.515987548828125,21.2255859375,27.869384765624996,31.92791015624999,109.32,107.0,138.0,150.01
heavy,Lowest-Latency,7228.15291588078,7223.365141585227,8392.144230798525,8862.981667924409,94.02114999999999,1.116884765625,1.05419921875,1.24560546875,1.58056640625,13.659368896484375,13.25439453125,19.2315185546875,22.122607421874996,79.38,76.0,104.0,115.00999999999999
heavy,Random,9605.114694133095,9508.67290735195,12807.657576937818,14476.478832917664,94.394275,1.36798583984375,1.24560546875,1.77197265625,1.77197265625,18.731905517578124,17.86328125,28.381860351562498,31.2424267578125,102.8975,101.0,140.0,167.01
heavy,Round-Robin,9493.468483691659,9230.579194509006,12729.736184215551,13794.100800433715,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.4304833984375,17.399658203125,27.3439697265625,31.68786621093749,101.4775,98.0,138.0,158.01
heavy,SLO-first,7304.307813986609,7307.790593716652,8536.748300153226,9129.278073091991,94.039675,1.11628662109375,1.05419921875,1.24560546875,1.38916015625,13.64129150390625,13.345703125,18.609936523437497,23.920361328124997,80.14,77.0,106.04999999999995,117.00999999999999
