strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
Best-Acc,31414.090279944994,31334.17693584686,34926.35493908718,35818.211476169716,95.16,4.74169921875,4.74169921875,4.74169921875,4.74169921875,65.3596142578125,64.294189453125,76.95395507812499,85.28485839843749,329.005,326.0,376.0,398.0899999999999
Lowest-Latency,21410.20988568126,21455.174443271415,23328.25615455946,23979.48488315942,94.04915000000001,3.3485009765625,3.35400390625,3.64111328125,3.73681640625,40.72406982421875,39.970703125,49.8122314453125,53.68698242187497,237.97,236.0,272.3499999999999,292.04999999999995
Random,28306.803351429277,28165.972588591525,33614.97747503336,36211.98503916526,94.39209999999999,4.085654296875,4.07177734375,4.74169921875,5.12451171875,56.09012939453125,55.8076171875,70.624658203125,82.46550292968749,306.445,302.0,368.3499999999999,410.03
Round-Robin,28291.64758426475,28019.912847192478,32866.52139106311,34488.25743962258,94.3707,4.0631640625,4.02392578125,4.59814453125,4.59814453125,56.189111328125,55.505126953125,70.79697265624999,81.37163574218748,306.02,301.5,356.2499999999999,382.01
SLO-first,21551.136142441403,21486.87796462524,23645.190673880777,24068.12114671633,94.08465,3.38080078125,3.35400390625,3.68896484375,3.88037109375,41.18135498046875,40.9716796875,48.690576171874994,52.32011230468749,239.81,237.0,275.04999999999995,294.01
