profile,strategy,mean,median,p95,p99
default,Best-Acc,108.5375,108.0,135.0,148.02999999999997
default,Lowest-Latency,78.43,77.0,104.04999999999995,115.0
default,Random,100.9625,99.0,136.0,152.02999999999997
default,Round-Robin,102.0675,99.5,138.0,159.01
default,SLO-first,78.9825,77.0,103.0,113.01999999999998
fast,Best-Acc,110.595,108.0,140.0,149.01999999999998
fast,Lowest-Latency,79.225,77.5,104.0,112.00999999999999
fast,Random,99.7375,97.0,136.04999999999995,142.04999999999995
fast,Round-Robin,101.735,100.0,137.04999999999995,149.01
fast,SLO-first,79.635,77.0,105.0,112.00999999999999
heavy,Best-Acc,109.32,107.0,138.0,150.01
heavy,Lowest-Latency,79.38,76.0,104.0,115.00999999999999
heavy,Random,102.8975,101.0,140.0,167.01
heavy,Round-Robin,101.4775,98.0,138.0,158.01
heavy,SLO-first,80.14,77.0,106.04999999999995,117.00999999999999
