profile,strategy,mean,median,p95,p99
default,Best-Acc,10104.707394494288,10064.139276900341,12086.588406019786,12928.584226956267
default,Lowest-Latency,6895.471916814601,6908.410100700868,8062.947480303939,8678.702714644554
default,Random,9172.17751735854,9001.687182429847,12197.147374410368,13543.110438277015
default,Round-Robin,9039.25321058093,8896.151367064353,11958.506793456156,13210.069331694964
default,SLO-first,6941.379710092804,6940.031979502124,8260.51952517062,8853.379561765603
fast,Best-Acc,10077.020664074065,10039.250986661082,12135.692400829561,13011.227475142
fast,Lowest-Latency,6919.017314370572,6932.59568868631,8161.022850318897,8496.911125677952
fast,Random,9024.070235430718,8970.79921520477,11587.08364743997,12577.165306371731
fast,Round-Robin,9074.531948890433,8905.233757258184,11992.439049481862,13174.26990326904
fast,SLO-first,6894.0042863280905,6904.754304420722,8135.423365582111,8564.832943662144
heavy,Best-Acc,10232.947397412156,10234.10456423014,12344.52522047286,13192.274286556856
heavy,Lowest-Latency,7114.8579647142205,7127.543954234666,8315.743100113741,8734.362387148602
heavy,Random,9224.677435933987,9003.656826674953,12444.51721968298,13162.988015287956
heavy,Round-Robin,9227.68513543319,9188.481031614889,12199.424240085078,13218.684448523014
heavy,SLO-first,7094.731963306938,7070.728540714341,8363.335967049941,8712.467232440089
