strategy,mean,median,p95,p99
Best-Acc,30457.59110500311,30505.66947346672,34024.81140068048,34913.350990520594
Lowest-Latency,20841.924630728307,20734.262703693217,23012.704839093643,23888.657816719853
Random,27324.796592335057,27116.73107414932,32045.917110931878,33479.096372537926
Round-Robin,27170.547968971492,27065.855738491962,30947.293204816182,33662.20455450759
SLO-first,20919.449423494596,21018.2173044178,22726.590785287786,24018.749779243022
