profile,strategy,mean,median,p95,p99
default,Best-Acc,21.482955322265624,20.736328125,30.0153076171875,33.398378906249995
default,Lowest-Latency,13.41639892578125,12.86865234375,19.53972167968749,21.966279296874983
default,Random,18.58173583984375,17.5283203125,28.389648437499996,32.19509277343748
default,Round-Robin,18.084674072265624,17.4130859375,27.651391601562498,32.6174072265625
default,SLO-first,13.503524169921874,12.93212890625,19.90244140624999,23.7700634765625
fast,Best-Acc,21.521953125,20.880615234375,29.391723632812486,33.4614404296875
fast,Lowest-Latency,13.442991943359376,12.970458984375,18.999853515625,23.495419921874998
fast,Random,18.1602978515625,17.3876953125,26.318139648437498,29.765639648437492
fast,Round-Robin,18.51865234375,17.42724609375,27.4967041015625,31.457050781249997
fast,SLO-first,13.37333984375,12.885986328125,19.121386718749992,22.739023437499995
heavy,Best-Acc,21.438453369140625,20.685791015625,30.097119140624997,34.126259765624994
heavy,Lowest-Latency,13.653096923828125,13.131103515625,19.442529296875,23.300908203124997
heavy,Random,18.254864501953126,17.631591796875,26.9875244140625,31.1805029296875
heavy,Round-Robin,18.25618408203125,17.72265625,26.358105468749997,28.796376953124998
heavy,SLO-first,13.59231689453125,13.04443359375,19.102783203124993,23.667084960937498
