strategy,mean,median,p95,p99
Best-Acc,326.07,325.0,370.0,393.03
Lowest-Latency,236.61,234.0,276.19999999999993,300.01
Random,299.355,296.0,357.04999999999995,366.0899999999999
Round-Robin,299.335,296.5,354.04999999999995,381.04999999999995
SLO-first,235.54,234.0,273.0,286.05999999999995
