strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
Best-Acc,30457.59110500311,30505.66947346672,34024.81140068048,34913.350990520594,95.16,4.74169921875,4.74169921875,4.74169921875,4.74169921875,64.23476806640625,63.760986328125,76.96728515625,79.50575683593749,326.07,325.0,370.0,393.03
Lowest-Latency,20841.924630728307,20734.262703693217,23012.704839093643,23888.657816719853,94.08845,3.376494140625,3.35400390625,3.68896484375,3.832998046875,40.438974609375,38.9951171875,49.9169921875,54.814599609375,236.61,234.0,276.19999999999993,300.01
Random,27324.796592335057,27116.73107414932,32045.917110931878,33479.096372537926,94.3803,4.0897216796875,4.07177734375,4.744091796874999,4.935019531249998,54.7094873046875,53.766845703125,68.1372802734375,75.12745605468749,299.355,296.0,357.04999999999995,366.0899999999999
Round-Robin,27170.547968971492,27065.855738491962,30947.293204816182,33662.20455450759,94.3707,4.0631640625,4.02392578125,4.59814453125,4.59814453125,54.61157958984375,53.82373046875,67.15961914062498,71.64795410156246,299.335,296.5,354.04999999999995,381.04999999999995
SLO-first,20919.449423494596,21018.2173044178,22726.590785287786,24018.749779243022,94.04605,3.366923828125,3.35400390625,3.64111328125,3.6904003906249985,40.5497119140625,39.91943359375,49.56562499999999,54.6174853515625,235.54,234.0,273.0,286.05999999999995
