profile,strategy,mean,median,p95,p99
default,Best-Acc,107.8375,106.0,135.04999999999995,153.01999999999998
default,Lowest-Latency,77.605,75.0,103.04999999999995,112.00999999999999
default,Random,100.915,98.0,138.04999999999995,155.02999999999997
default,Round-Robin,99.1875,96.0,132.0,163.08999999999992
default,SLO-first,78.23,76.0,104.04999999999995,115.00999999999999
fast,Best-Acc,108.67,107.0,139.04999999999995,147.01
fast,Lowest-Latency,78.635,76.0,101.04999999999995,110.06999999999994
fast,Random,100.3225,99.0,136.0,149.05999999999995
fast,Round-Robin,100.8425,97.0,136.04999999999995,158.01999999999998
fast,SLO-first,78.6875,76.0,103.0,111.04999999999995
heavy,Best-Acc,107.6925,105.0,137.0999999999999,155.01
heavy,Lowest-Latency,79.4075,77.0,104.0,117.00999999999999
heavy,Random,99.9575,97.0,136.0,150.02999999999997
heavy,Round-Robin,100.1125,99.0,134.04999999999995,146.01
heavy,SLO-first,78.95,76.0,103.04999999999995,119.00999999999999
