strategy,mean,median,p95,p99
Best-Acc,0.0,0.0,0.0,0.0
Lowest-Latency,0.0,0.0,0.0,0.0
Random,0.0,0.0,0.0,0.0
Round-Robin,0.0,0.0,0.0,0.0
SLO-first,35488.5,35488.5,38165.55,38403.51
