strategy,pct_any_viol,pct_both_viol,pct_latency_viol,pct_acc_viol,SLO_L_ms,SLO_A_min,wL,wA,pL,pA,runs,v_L_ms_mean,v_L_ms_median,v_L_ms_p95,v_A_mean,v_A_median,v_A_p95,viol_mag_mean,viol_mag_median,viol_mag_p95,soft_score_mean,soft_score_median,soft_score_p95,latency_ms_mean,latency_ms_median,acc_mean,acc_median
Overall,100.0,58.333333333333336,100.0,58.333333333333336,1000.0,89.0,0.5,0.5,2.0,2.0,12.0,19163.674927930944,26586.153965589994,33036.67936883928,2.460000000000001,2.5,5.060000000000002,268.3032804919748,353.4131679917037,545.7113375882236,268.3032804919748,353.4131679917037,545.7113375882236,20163.674927930944,27586.153965589994,87.63166666666666,86.5
SLO-first,100.0,100.0,100.0,100.0,1000.0,89.0,0.5,0.5,2.0,2.0,2.0,2438.269481433842,2438.269481433842,2610.415058594364,3.335000000000001,3.335000000000001,4.536500000000001,2.991686258227544,2.991686258227544,3.4119294361683754,2.991686258227544,2.991686258227544,3.4119294361683754,3438.269481433842,3438.269481433842,85.66499999999999,85.66499999999999
Best-Acc,100.0,0.0,100.0,0.0,1000.0,89.0,0.5,0.5,2.0,2.0,2.0,30122.055468638973,30122.055468638973,32765.16892446083,0.0,0.0,0.0,457.9814885935276,457.9814885935276,537.5974987196996,457.9814885935276,457.9814885935276,537.5974987196996,31122.055468638973,31122.055468638973,91.62,91.62
Lowest-Latency,100.0,50.0,100.0,50.0,1000.0,89.0,0.5,0.5,2.0,2.0,2.0,2275.485704178891,2275.485704178891,2280.356437911801,2.530000000000001,2.530000000000001,4.807000000000002,2.589740331847342,2.589740331847342,2.600096333654125,2.589740331847342,2.589740331847342,2.600096333654125,3275.485704178891,3275.485704178891,87.78,87.78
Random,100.0,100.0,100.0,100.0,1000.0,89.0,0.5,0.5,2.0,2.0,2.0,29623.55213281066,29623.55213281066,29797.258218469502,4.030000000000001,4.030000000000001,4.9570000000000025,438.79713843519016,438.79713843519016,443.94340135312353,438.79713843519016,438.79713843519016,443.94340135312353,30623.55213281066,30623.55213281066,84.97,84.97
Full-model,100.0,0.0,100.0,0.0,1000.0,89.0,0.5,0.5,2.0,2.0,2.0,33014.51054034862,33014.51054034862,33014.51054034862,0.0,0.0,0.0,544.9789531093952,544.9789531093952,544.9789531093952,544.9789531093952,544.9789531093952,544.9789531093952,34014.51054034862,34014.51054034862,91.62,91.62
Round-Robin,100.0,100.0,100.0,100.0,1000.0,89.0,0.5,0.5,2.0,2.0,2.0,24433.594046383514,24433.594046383514,26370.897973669347,4.865000000000002,4.865000000000002,5.040500000000002,300.81851253237136,300.81851253237136,348.1537024457705,300.81851253237136,300.81851253237136,348.1537024457705,25433.594046383514,25433.594046383514,84.13499999999999,84.13499999999999
