run,strategy,profile,stitch_id,acc,latency_ms,net_base_ms,hop_count,payload_mb,link_mb,payload_mb_cached,link_mb_cached,compute_ms,net_latency_ms,met_slo,slo_ms,slo_excess_ms,slo_excess_pct,met_dual_slo,net_obj_ms,soft_slo_score,v_lat_ms,v_lat_norm,v_acc,v_acc_norm,lat_target_ms,acc_target,valid,selection_time_ms,ssp_calls,per_stage,no_route_edges
1,Full-model,extract-frames,1,91.62,2902.697514520757,,66,1.1484375,15.00146484375,1.1484375,15.00146484375,222.52182487129375,2680.1756896494635,False,70.0,2832.697514520757,4046.7107350296533,,,,,,,,,,,5.284207999999069,0,"[{'m_src': 'swin_patch', 'm_dst': 'swin_stage1', 'compute_ms': 29.236703953836162, 'net_ms': 569.5051944130197, 'seg_hops': 14, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1', 'm_dst': 'swin_stage2', 'compute_ms': 70.40523462272813, 'net_ms': 413.40412885203176, 'seg_hops': 10, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2', 'm_dst': 'swin_stage3', 'compute_ms': 33.07558215775002, 'net_ms': 580.1946083161558, 'seg_hops': 15, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 33.03713366107875, 'net_ms': 511.164800893481, 'seg_hops': 13, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'head', 'compute_ms': 29.186630356939023, 'net_ms': 605.9069571747748, 'seg_hops': 14, 'payload_mb': 0.07177734375}]",0.0
1,Round-Robin,extract-frames,2,86.0,2372.6762844460222,,51,0.95703125,11.02978515625,0.95703125,11.02978515625,242.29742327712074,2130.3788611689015,False,70.0,2302.6762844460222,3289.537549208603,,,,,,,,,,,3.67833399999995,0,"[{'m_src': 'resnet_stem', 'm_dst': 'swin_stage1', 'compute_ms': 48.25148578208718, 'net_ms': 702.0392202912905, 'seg_hops': 17, 'payload_mb': 0.3828125}, {'m_src': 'swin_stage1', 'm_dst': 'swin_stage2', 'compute_ms': 27.898435952274433, 'net_ms': 325.5781933806246, 'seg_hops': 8, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2', 'm_dst': 'swin_stage3', 'compute_ms': 29.2920492512193, 'net_ms': 211.23543259183708, 'seg_hops': 5, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 25.658997846089964, 'net_ms': 334.1208307251389, 'seg_hops': 8, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'head', 'compute_ms': 29.988532226637744, 'net_ms': 557.4051841800108, 'seg_hops': 13, 'payload_mb': 0.07177734375}]",0.0
2,SLO-first,extract-frames,1,91.62,459.65691774315064,1250.0,7,1.1484375,1.36376953125,0.57421875,2.296875,175.94726079870918,283.70965694444146,False,70.0,389.65691774315064,556.6527396330723,False,1250.0,0.5868055555555555,650.0,1.0833333333333333,0.0,0.0,600.0,89.0,True,2320.036041,54,,
2,Best-Acc,extract-frames,1,91.62,3338.9538295393063,,68,1.1484375,14.42724609375,1.1484375,14.42724609375,319.48991740783885,3019.4639121314676,False,70.0,3268.9538295393063,4669.934042199009,,,,,,,,,,,5.797917000000652,0,"[{'m_src': 'swin_patch', 'm_dst': 'swin_stage1', 'compute_ms': 71.73809563887605, 'net_ms': 527.7327326608875, 'seg_hops': 12, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1', 'm_dst': 'swin_stage2', 'compute_ms': 23.81242204730153, 'net_ms': 486.8134832719274, 'seg_hops': 11, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2', 'm_dst': 'swin_stage3', 'compute_ms': 21.905041604442914, 'net_ms': 681.5342556961721, 'seg_hops': 16, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 66.0963107415695, 'net_ms': 658.5229003731529, 'seg_hops': 15, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'head', 'compute_ms': 65.77700973265064, 'net_ms': 664.8605401293278, 'seg_hops': 14, 'payload_mb': 0.07177734375}]",0.0
2,Lowest-Latency,extract-frames,3,84.33,543.0176651685666,,10,1.052734375,1.79443359375,1.052734375,1.79443359375,149.61853174048028,393.3991334280863,False,70.0,473.0176651685666,675.7395216693809,,,,,,,,,,,2215.7695420000005,0,"[{'m_src': 'resnet_stem', 'm_dst': 'resnet_layer1', 'compute_ms': 23.685020150889738, 'net_ms': 40.302987173605516, 'seg_hops': 1, 'payload_mb': 0.3828125}, {'m_src': 'resnet_layer1', 'm_dst': 'swin_stage2', 'compute_ms': 22.13590348934641, 'net_ms': 91.04500541190525, 'seg_hops': 2, 'payload_mb': 0.3828125}, {'m_src': 'swin_stage2', 'm_dst': 'swin_stage3', 'compute_ms': 24.868071448483583, 'net_ms': 69.84708623262591, 'seg_hops': 2, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 28.58751675648435, 'net_ms': 115.56537219117652, 'seg_hops': 3, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'head', 'compute_ms': 22.950057251245838, 'net_ms': 76.63868241877312, 'seg_hops': 2, 'payload_mb': 0.07177734375}]",0.0
2,Random,extract-frames,2,86.0,2513.1609568134027,,55,0.95703125,11.005859375,0.95703125,11.005859375,222.25863883365608,2290.9023179797464,False,70.0,2443.1609568134027,3490.2299383048608,,,,,,,,,,,4.17662499999949,0,"[{'m_src': 'resnet_stem', 'm_dst': 'swin_stage1', 'compute_ms': 17.15401286839076, 'net_ms': 442.2547572289973, 'seg_hops': 10, 'payload_mb': 0.3828125}, {'m_src': 'swin_stage1', 'm_dst': 'swin_stage2', 'compute_ms': 32.59933277065916, 'net_ms': 562.9466150046634, 'seg_hops': 14, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2', 'm_dst': 'swin_stage3', 'compute_ms': 53.86671192096542, 'net_ms': 526.8167289298692, 'seg_hops': 13, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 75.07487313433727, 'net_ms': 558.3729100799145, 'seg_hops': 13, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'head', 'compute_ms': 22.95292697269212, 'net_ms': 200.5113067363016, 'seg_hops': 5, 'payload_mb': 0.07177734375}]",0.0
2,Full-model,extract-frames,1,91.62,3268.342140178164,,68,1.1484375,14.42724609375,1.1484375,14.42724609375,289.01066444642527,2979.3314757317385,False,70.0,3198.342140178164,4569.06020025452,,,,,,,,,,,5.77987499999999,0,"[{'m_src': 'swin_patch', 'm_dst': 'swin_stage1', 'compute_ms': 48.746351661887104, 'net_ms': 519.5612709664521, 'seg_hops': 12, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1', 'm_dst': 'swin_stage2', 'compute_ms': 26.964872302737767, 'net_ms': 504.73044223329293, 'seg_hops': 11, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2', 'm_dst': 'swin_stage3', 'compute_ms': 18.043354876831923, 'net_ms': 682.8661414030383, 'seg_hops': 16, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 67.44759445677614, 'net_ms': 635.2595695131945, 'seg_hops': 15, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'head', 'compute_ms': 70.60719144762366, 'net_ms': 636.9140516157603, 'seg_hops': 14, 'payload_mb': 0.07177734375}]",0.0
2,Round-Robin,extract-frames,3,84.33,1587.0656046669653,,36,1.052734375,6.2685546875,1.052734375,6.2685546875,179.58599077880746,1407.479613888158,False,70.0,1517.0656046669653,2167.2365780956648,,,,,,,,,,,2.496875000000287,0,"[{'m_src': 'resnet_stem', 'm_dst': 'resnet_layer1', 'compute_ms': 21.34036767823394, 'net_ms': 130.13064195745145, 'seg_hops': 3, 'payload_mb': 0.3828125}, {'m_src': 'resnet_layer1', 'm_dst': 'swin_stage2', 'compute_ms': 23.00729613581152, 'net_ms': 261.221227927505, 'seg_hops': 7, 'payload_mb': 0.3828125}, {'m_src': 'swin_stage2', 'm_dst': 'swin_stage3', 'compute_ms': 36.44866922484975, 'net_ms': 310.2329008777232, 'seg_hops': 8, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 35.32706370808191, 'net_ms': 424.5219523021166, 'seg_hops': 11, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'head', 'compute_ms': 32.03340142622177, 'net_ms': 281.3728908233617, 'seg_hops': 7, 'payload_mb': 0.07177734375}]",0.0
3,SLO-first,extract-frames,4,87.0,393.31603895733383,1110.0,6,1.1005859375,1.2919921875,0.0,0.0,151.96496904872185,241.351069908612,False,70.0,323.31603895733383,461.88005565333407,False,1110.0,0.3615024933720489,510.0,0.85,2.0,0.02247191011235955,600.0,89.0,True,2275.804707999999,60,,
3,Best-Acc,extract-frames,1,91.62,2501.2356195301722,,56,1.1484375,12.05859375,1.1484375,12.05859375,236.0057002355229,2265.2299192946493,False,70.0,2431.2356195301722,3473.19374218596,,,,,,,,,,,4.5786250000006135,0,"[{'m_src': 'swin_patch', 'm_dst': 'swin_stage1', 'compute_ms': 21.34486103170257, 'net_ms': 492.68834195486295, 'seg_hops': 13, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1', 'm_dst': 'swin_stage2', 'compute_ms': 36.61103169193338, 'net_ms': 84.90769021222269, 'seg_hops': 2, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2', 'm_dst': 'swin_stage3', 'compute_ms': 22.851495631960958, 'net_ms': 624.1584103406136, 'seg_hops': 15, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 62.6943675593682, 'net_ms': 489.7284550097297, 'seg_hops': 12, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'head', 'compute_ms': 23.41721831257771, 'net_ms': 573.7470217772204, 'seg_hops': 14, 'payload_mb': 0.07177734375}]",0.0
