profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,2332.315254191152,2311.2942326272223,3045.3487274323898,3343.0201737798207
extract-frames,Full-model,2331.6907203666096,2328.768806197955,3035.6135841936125,3273.3453170710595
extract-frames,Lowest-Latency,482.56102090368086,477.47987037408865,595.0350967521701,640.7493456703259
extract-frames,Random,2290.4030707217153,2269.8006155040002,2889.048906516595,3099.209020457315
extract-frames,Round-Robin,2317.019074940153,2316.162783720263,3092.9278339252887,3215.839801317548
extract-frames,SLO-first,497.77833299307326,483.2059689265235,613.8092926108694,669.743921205423
object-det,Best-Acc,2215.9220028841332,2285.2269773503313,2821.612208184604,3121.8894264513
object-det,Full-model,2210.7673420673946,2285.104409878723,2813.9839111476062,3144.985718206889
object-det,Lowest-Latency,436.7704313256993,425.19854711519724,559.0413515038331,609.2617752711178
object-det,Random,2239.9180283857054,2229.06622225369,2965.9589809229324,3187.271546785701
object-det,Round-Robin,2205.2231959575247,2177.167374651515,2853.9117320311666,3162.819448071159
object-det,SLO-first,447.39158885310536,444.8063467146932,546.2512379357687,598.68206107172
prepare-ds,Best-Acc,2422.7656911403205,2493.2137536472355,2997.9182812294,3199.4331482072234
prepare-ds,Full-model,2415.9779851327303,2475.047385605565,3022.63701208463,3167.848866519116
prepare-ds,Lowest-Latency,569.5159650204954,557.8465720909078,708.2719901654481,751.0387175324666
prepare-ds,Random,2409.2406660967117,2407.56123029677,3111.682723143496,3276.769566153535
prepare-ds,Round-Robin,2454.7145439630804,2411.1056194174316,3127.6077418327977,3460.9828886548135
prepare-ds,SLO-first,593.6124176470628,595.4881862457701,705.7910171043278,760.5864340687373
