strategy,mean,median,p95,p99
Best-Acc,4.74169921875,4.74169921875,4.74169921875,4.74169921875
Lowest-Latency,4.21533203125,4.21533203125,4.21533203125,4.21533203125
Random,3.5439453125,3.5439453125,3.5439453125,3.5439453125
Round-Robin,4.55029296875,4.55029296875,4.55029296875,4.55029296875
SLO-first,3.59326171875,3.59326171875,3.59326171875,3.59326171875
