profile,strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99,payload_cached_mean,payload_cached_median,payload_cached_p95,payload_cached_p99,link_cached_mean,link_cached_median,link_cached_p95,link_cached_p99,selector_mean,selector_median,selector_p95,selector_p99,ssp_mean,ssp_median,ssp_p95,ssp_p99
extract-frames,Best-Acc,2332.315254191152,2311.2942326272223,3045.3487274323898,3343.0201737798207,91.62,1.1484375,1.1484375,1.1484375,1.1484375,11.8138330078125,11.735595703125,16.3688232421875,17.322744140625012,50.92,51.0,67.05,70.14000000000007,1.1484375,1.1484375,1.1484375,1.1484375,11.8138330078125,11.735595703125,16.3688232421875,17.322744140625012,3.9074925199994675,3.8905629999703706,5.553035449977983,5.807744910000446,0.0,0.0,0.0,0.0
extract-frames,Full-model,2331.6907203666096,2328.768806197955,3035.6135841936125,3273.3453170710595,91.62,1.1484375,1.1484375,1.1484375,1.1484375,11.8138330078125,11.735595703125,16.3688232421875,17.322744140625012,50.92,51.0,67.05,70.14000000000007,1.1484375,1.1484375,1.1484375,1.1484375,11.8138330078125,11.735595703125,16.3688232421875,17.322744140625012,3.886549609997534,3.872624999985419,5.478591350009765,5.789725409999798,0.0,0.0,0.0,0.0
extract-frames,Lowest-Latency,482.56102090368086,477.47987037408865,595.0350967521701,640.7493456703259,84.2212,1.091015625,1.1005859375,1.12451171875,1.12451171875,1.680068359375,1.65087890625,2.251416015625,2.6579150390625013,8.09,8.0,11.0,12.0,1.091015625,1.1005859375,1.12451171875,1.12451171875,1.680068359375,1.65087890625,2.251416015625,2.6579150390625013,2198.9031991199986,2199.3822919999957,2283.4538163500115,2327.4137846699928,0.0,0.0,0.0,0.0
extract-frames,Random,2290.4030707217153,2269.8006155040002,2889.048906516595,3099.209020457315,86.1543,1.0936474609375,1.1005859375,1.1484375,1.1484375,10.9962890625,11.02978515625,14.865087890625,16.6305712890625,50.23,51.0,65.05,69.01,1.0936474609375,1.1005859375,1.1484375,1.1484375,10.9962890625,11.02978515625,14.865087890625,16.6305712890625,3.8850475499993564,3.9121044999888,5.125516650015616,5.308966669995246,0.0,0.0,0.0,0.0
extract-frames,Round-Robin,2317.019074940153,2316.162783720263,3092.9278339252887,3215.839801317548,86.038,1.08623046875,1.1005859375,1.1484375,1.1484375,11.1984619140625,10.98193359375,15.478784179687498,16.290585937500012,51.44,51.0,70.0,75.01,1.08623046875,1.1005859375,1.1484375,1.1484375,11.1984619140625,10.98193359375,15.478784179687498,16.290585937500012,3.914968290001175,3.9597499999786123,5.331922249994392,5.810590420001206,0.0,0.0,0.0,0.0
extract-frames,SLO-first,497.77833299307326,483.2059689265235,613.8092926108694,669.743921205423,88.11219999999999,1.069482421875,1.1005859375,1.1484375,1.1484375,1.558525390625,1.50732421875,2.2023681640625,2.3930566406250002,8.08,8.0,11.0,11.010000000000005,0.1780078125,0.0,0.57421875,0.57421875,1.2230859375,0.0,6.345117187499999,7.4763281250000055,2294.8704854699963,2289.5204789999893,2365.327560399996,2421.6759432500003,58.2,60.0,60.0,60.0
object-det,Best-Acc,2215.9220028841332,2285.2269773503313,2821.612208184604,3121.8894264513,91.62,1.1484375,1.1484375,1.1484375,1.1484375,11.2999072265625,11.807373046875,15.295751953125,16.0070654296875,49.63,51.0,64.05,68.03000000000002,1.1484375,1.1484375,1.1484375,1.1484375,11.2999072265625,11.807373046875,15.295751953125,16.0070654296875,3.7929287400078238,3.823375000024498,5.18472675004773,5.516704999986359,0.0,0.0,0.0,0.0
object-det,Full-model,2210.7673420673946,2285.104409878723,2813.9839111476062,3144.985718206889,91.62,1.1484375,1.1484375,1.1484375,1.1484375,11.2999072265625,11.807373046875,15.295751953125,16.0070654296875,49.63,51.0,64.05,68.03000000000002,1.1484375,1.1484375,1.1484375,1.1484375,11.2999072265625,11.807373046875,15.295751953125,16.0070654296875,3.778916240008243,3.808978999984447,5.174599399964563,5.471985079933575,0.0,0.0,0.0,0.0
object-det,Lowest-Latency,436.7704313256993,425.19854711519724,559.0413515038331,609.2617752711178,84.1958,1.091015625,1.1005859375,1.12451171875,1.12451171875,1.677197265625,1.5791015625,2.3519042968749995,2.920859375000001,8.13,8.0,11.0,12.010000000000005,1.091015625,1.1005859375,1.12451171875,1.12451171875,1.677197265625,1.5791015625,2.3519042968749995,2.920859375000001,2201.9589065700097,2200.0053545000637,2293.3080598000856,2359.4920570800004,0.0,0.0,0.0,0.0
object-det,Random,2239.9180283857054,2229.06622225369,2965.9589809229324,3187.271546785701,86.41850000000001,1.0969970703125,1.1005859375,1.1484375,1.1484375,11.2970361328125,11.663818359375,15.129467773437499,16.36092773437501,50.73,49.0,67.05,72.04000000000002,1.0969970703125,1.1005859375,1.1484375,1.1484375,11.2970361328125,11.663818359375,15.129467773437499,16.36092773437501,3.8804579500038017,3.8952919999815094,5.346649699998807,5.884199909992276,0.0,0.0,0.0,0.0
