profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,50.92,51.0,67.05,70.14000000000007
extract-frames,Full-model,50.92,51.0,67.05,70.14000000000007
extract-frames,Lowest-Latency,8.09,8.0,11.0,12.0
extract-frames,Random,50.23,51.0,65.05,69.01
extract-frames,Round-Robin,51.44,51.0,70.0,75.01
extract-frames,SLO-first,8.08,8.0,11.0,11.010000000000005
object-det,Best-Acc,49.63,51.0,64.05,68.03000000000002
object-det,Full-model,49.63,51.0,64.05,68.03000000000002
object-det,Lowest-Latency,8.13,8.0,11.0,12.010000000000005
object-det,Random,50.73,49.0,67.05,72.04000000000002
object-det,Round-Robin,49.95,49.5,64.05,72.02000000000001
object-det,SLO-first,8.18,8.0,11.0,12.0
prepare-ds,Best-Acc,49.81,50.0,64.05,68.0
prepare-ds,Full-model,49.81,50.0,64.05,68.0
prepare-ds,Lowest-Latency,8.28,8.0,11.0,14.010000000000005
prepare-ds,Random,51.08,52.0,66.05,70.04000000000002
prepare-ds,Round-Robin,51.98,52.5,70.0,74.01
prepare-ds,SLO-first,8.25,8.0,11.0,12.010000000000005
