strategy,mean,median,p95,p99
Best-Acc,466.0,466.0,629.8,644.36
Lowest-Latency,54.5,54.5,61.25,61.85
Random,674.5,674.5,801.85,813.17
Round-Robin,619.0,619.0,637.0,638.6
SLO-first,51.5,51.5,53.75,53.95
