profile,strategy,acc_mean
extract-frames,Best-Acc,91.62
extract-frames,Full-model,91.62
extract-frames,Lowest-Latency,84.2212
extract-frames,Random,86.1543
extract-frames,Round-Robin,86.038
extract-frames,SLO-first,88.11219999999999
object-det,Best-Acc,91.62
object-det,Full-model,91.62
object-det,Lowest-Latency,84.1958
object-det,Random,86.41850000000001
object-det,Round-Robin,86.038
object-det,SLO-first,87.74880000000002
prepare-ds,Best-Acc,91.62
prepare-ds,Full-model,91.62
prepare-ds,Lowest-Latency,84.20459999999999
prepare-ds,Random,85.6734
prepare-ds,Round-Robin,86.038
prepare-ds,SLO-first,87.76880000000001
