strategy,pct_any_viol,pct_both_viol,pct_latency_viol,pct_acc_viol,SLO_L_ms,SLO_A_min,wL,wA,pL,pA,runs,v_L_ms_mean,v_L_ms_median,v_L_ms_p95,v_A_mean,v_A_median,v_A_p95,viol_mag_mean,viol_mag_median,viol_mag_p95,soft_score_mean,soft_score_median,soft_score_p95,latency_ms_mean,latency_ms_median,acc_mean,acc_median
Overall,100.0,57.388888888888886,100.0,57.388888888888886,70.0,89.0,0.5,0.5,2.0,2.0,1800,1645.1992962550196,1958.9880240856592,2849.5230559113324,2.209100000000001,2.0,5.060000000000002,363.7634405714479,391.59687453498407,828.5496995403524,363.7634405714479,391.59687453498407,828.5496995403524,1715.1992962550194,2028.9880240856592,87.90731111111111,87.0
SLO-first,100.0,73.66666666666667,100.0,73.66666666666667,70.0,89.0,0.5,0.5,2.0,2.0,300,442.92744649774704,436.22468252778003,605.9216520839453,1.8133333333333332,2.0,3.0,20.89616832599878,19.417801315610838,37.463916159197375,20.89616832599878,19.417801315610838,37.463916159197375,512.927446497747,506.22468252778003,87.87660000000001,87.0
Best-Acc,100.0,0.0,100.0,0.0,70.0,89.0,0.5,0.5,2.0,2.0,300,2253.667649405202,2265.7222176236323,2927.9182812294,0.0,0.0,0.0,537.2662473454075,523.8262456862785,874.7660603484408,537.2662473454075,523.8262456862785,874.7660603484408,2323.667649405202,2335.7222176236323,91.62,91.62
Lowest-Latency,100.0,100.0,100.0,100.0,70.0,89.0,0.5,0.5,2.0,2.0,300,426.2824724166251,418.4892248725552,580.3119575422404,4.792800000000003,4.670000000000002,5.060000000000002,19.362449777612497,17.87224106623335,34.36507250038427,19.362449777612497,17.87224106623335,34.36507250038427,496.2824724166251,488.4892248725552,84.20719999999999,84.33
Random,100.0,85.66666666666667,100.0,85.66666666666667,70.0,89.0,0.5,0.5,2.0,2.0,300,2243.187255068044,2263.047293722087,2895.9589809229324,3.2934666666666685,4.400000000000006,5.060000000000002,532.2914383387772,522.5907305855551,855.773494154932,532.2914383387772,522.5907305855551,855.773494154932,2313.187255068044,2333.047293722087,86.08206666666668,84.6
Full-model,100.0,0.0,100.0,0.0,70.0,89.0,0.5,0.5,2.0,2.0,300,2249.4786825222454,2285.9374504730304,2942.075891968502,0.0,0.0,0.0,535.3832823889492,533.2157596367915,883.2465151113897,535.3832823889492,533.2157596367915,883.2465151113897,2319.4786825222454,2355.9374504730304,91.62,91.62
Round-Robin,100.0,85.0,100.0,85.0,70.0,89.0,0.5,0.5,2.0,2.0,300,2255.652271620253,2232.2411095969255,3003.7665635907674,3.355000000000002,4.400000000000006,5.060000000000002,537.381057251942,508.4610189813328,920.6780971438943,537.381057251942,508.4610189813328,920.6780971438943,2325.652271620253,2302.2411095969255,86.03800000000001,84.6
