strategy,mean,median,p95,p99
Best-Acc,162.365478515625,162.365478515625,164.3964111328125,164.5769384765625
Lowest-Latency,10.13525390625,10.13525390625,11.874169921875,12.028740234375
Random,182.302001953125,182.302001953125,229.40852050781248,233.5957666015625
Round-Robin,117.999267578125,117.999267578125,132.9373779296875,134.2652099609375
SLO-first,5.6044921875,5.6044921875,5.778076171875,5.793505859375
