strategy,mean,median,p95,p99
Best-Acc,31122.055468638973,31122.055468638973,33765.168924460835,34000.11234275611
Full-model,34014.51054034862,34014.51054034862,34014.51054034862,34014.51054034862
Lowest-Latency,3275.485704178891,3275.485704178891,3280.356437911801,3280.7893920213933
Random,30623.55213281066,30623.55213281066,30797.258218469502,30812.698759416955
Round-Robin,25433.594046383514,25433.594046383514,27370.897973669347,27543.102767205866
SLO-first,3438.269481433842,3438.269481433842,3610.415058594364,3625.716887675299
