strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99,payload_cached_mean,payload_cached_median,payload_cached_p95,payload_cached_p99,link_cached_mean,link_cached_median,link_cached_p95,link_cached_p99,selector_mean,selector_median,selector_p95,selector_p99,ssp_mean,ssp_median,ssp_p95,ssp_p99
Best-Acc,37203.265843723486,37203.265843723486,39957.82317814656,40202.67271898416,91.78,4.16748046875,4.16748046875,4.16748046875,4.16748046875,146.534423828125,146.534423828125,167.5884033203125,169.4598681640625,893.5,893.5,956.05,961.61,4.16748046875,4.16748046875,4.16748046875,4.16748046875,146.534423828125,146.534423828125,167.5884033203125,169.4598681640625,12.767979500000415,12.767979500000415,12.877235450000324,12.886947090000316,0.0,0.0,0.0,0.0
Lowest-Latency,2608.55471958211,2608.55471958211,2958.666882560223,2989.787963713833,88.0,3.44970703125,3.44970703125,3.70810546875,3.73107421875,8.556884765625,8.556884765625,10.3676513671875,10.5286083984375,61.5,61.5,71.85,72.77,3.44970703125,3.44970703125,3.70810546875,3.73107421875,8.556884765625,8.556884765625,10.3676513671875,10.5286083984375,3942.8081464999987,3942.8081464999987,3969.13530245,3971.47549409,0.0,0.0,0.0,0.0
Random,inf,inf,30755.008677842125,30755.008677842125,86.67,3.161865234375,3.161865234375,3.8085205078124997,3.8660009765625,114.77001953125,114.77001953125,133.954345703125,135.659619140625,604.0,604.0,721.9,732.38,3.161865234375,3.161865234375,3.8085205078124997,3.8660009765625,114.77001953125,114.77001953125,133.954345703125,135.659619140625,12.03827049999795,12.03827049999795,14.448226149999677,14.66244442999983,0.0,0.0,0.0,0.0
Round-Robin,36686.732802716295,36686.732802716295,41426.757102521486,41848.0925958375,86.33500000000001,4.11962890625,4.11962890625,4.5072265625,4.5416796875,159.486572265625,159.486572265625,185.2145751953125,187.5015087890625,882.5,882.5,997.25,1007.45,4.11962890625,4.11962890625,4.5072265625,4.5416796875,159.486572265625,159.486572265625,185.2145751953125,187.5015087890625,12.980437500000441,12.980437500000441,14.423531250001265,14.551806250001338,0.0,0.0,0.0,0.0
SLO-first,1610.0,1610.0,1682.0,1688.4,91.445,3.80859375,3.80859375,3.873193359375,3.878935546875,6.746826171875,6.746826171875,6.9957763671875,7.0179052734375,42.0,42.0,42.0,42.0,2.66015625,2.66015625,2.724755859375,2.730498046875,5.215576171875,5.215576171875,5.8090576171875,5.8618115234375,2728.966354500001,2728.966354500001,2866.726110450002,2878.9714220900023,35488.5,35488.5,38165.55,38403.51
