strategy,mean,median,p95,p99
Best-Acc,4.16748046875,4.16748046875,4.16748046875,4.16748046875
Lowest-Latency,3.44970703125,3.44970703125,3.70810546875,3.73107421875
Random,3.161865234375,3.161865234375,3.8085205078124997,3.8660009765625
Round-Robin,4.11962890625,4.11962890625,4.5072265625,4.5416796875
SLO-first,2.66015625,2.66015625,2.724755859375,2.730498046875
