run,strategy,profile,stitch_id,acc,latency_ms,net_base_ms,hop_count,payload_mb,link_mb,compute_ms,net_latency_ms,met_slo,slo_ms,slo_excess_ms,slo_excess_pct,met_dual_slo,selection_time_ms,ssp_calls,per_stage
0,SLO-first,extract-frames,1,90.47,525.0,525.0,12,1.58056640625,1.94091796875,0.0,525.0,False,70.0,455.0,650.0,True,12.776542000000003,118.0,
0,Best-Acc,extract-frames,1,90.47,1054.5797088854445,,22,1.58056640625,5.81689453125,1054.5797088854445,1054.5797088854445,False,70.0,984.5797088854445,1406.5424412649206,,0.8472499999999661,,"[{'m_src': 'swin_patch_embed', 'm_dst': 'swin_stage1_b0', 'compute_ms': 54.98156129896274, 'net_ms': 234.23082699522797, 'seg_hops': 4, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1_b0', 'm_dst': 'swin_stage1_b1', 'compute_ms': 23.399724474433423, 'net_ms': 184.63205130438544, 'seg_hops': 4, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage1_b1', 'm_dst': 'swin_stage2_b0', 'compute_ms': 27.215311971165118, 'net_ms': 241.8772879293029, 'seg_hops': 6, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2_b0', 'm_dst': 'swin_stage2_b1', 'compute_ms': 35.03666954249332, 'net_ms': 39.203035801835334, 'seg_hops': 1, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage2_b1', 'm_dst': 'swin_stage3', 'compute_ms': 27.90810696892018, 'net_ms': 110.6030494043731, 'seg_hops': 2, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 15.898136955020938, 'net_ms': 103.38540730263443, 'seg_hops': 2, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'swin_tail_extras', 'compute_ms': 26.458489001043656, 'net_ms': 43.26936073995631, 'seg_hops': 1, 'payload_mb': 0.07177734375}, {'m_src': 'swin_tail_extras', 'm_dst': 'head', 'compute_ms': 25.589629783148336, 'net_ms': 97.378689407729, 'seg_hops': 2, 'payload_mb': 0.00146484375}]"
0,Lowest-Latency,extract-frames,1,90.47,691.5072697230628,,13,1.58056640625,2.08447265625,691.5072697230628,691.5072697230628,False,70.0,621.5072697230628,887.867528175804,,21.242917000000027,,"[{'m_src': 'swin_patch_embed', 'm_dst': 'swin_stage1_b0', 'compute_ms': 18.521160205680662, 'net_ms': 73.5371028194285, 'seg_hops': 1, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1_b0', 'm_dst': 'swin_stage1_b1', 'compute_ms': 26.96842445518275, 'net_ms': 67.64852713112978, 'seg_hops': 1, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage1_b1', 'm_dst': 'swin_stage2_b0', 'compute_ms': 14.463404063281192, 'net_ms': 51.1502154597911, 'seg_hops': 1, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2_b0', 'm_dst': 'swin_stage2_b1', 'compute_ms': 51.132800238771786, 'net_ms': 154.2305344240401, 'seg_hops': 3, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage2_b1', 'm_dst': 'swin_stage3', 'compute_ms': 30.8585328488952, 'net_ms': 101.79129815342222, 'seg_hops': 2, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 21.558177526350025, 'net_ms': 46.18527734981509, 'seg_hops': 1, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'swin_tail_extras', 'compute_ms': 52.7991812614565, 'net_ms': 102.86730063977737, 'seg_hops': 2, 'payload_mb': 0.07177734375}, {'m_src': 'swin_tail_extras', 'm_dst': 'head', 'compute_ms': 23.545893688261007, 'net_ms': 94.09701374565863, 'seg_hops': 2, 'payload_mb': 0.00146484375}]"
0,Random,extract-frames,5,86.76,1433.9939033587884,,26,1.38916015625,5.19482421875,1433.9939033587884,1433.9939033587884,False,70.0,1363.9939033587884,1948.5627190839837,,1.6812499999999675,,"[{'m_src': 'resnet_stem', 'm_dst': 'resnet_layer1', 'compute_ms': 37.95423464674689, 'net_ms': 263.9863175443199, 'seg_hops': 4, 'payload_mb': 0.3828125}, {'m_src': 'resnet_layer1', 'm_dst': 'resnet_layer2', 'compute_ms': 44.61160006503745, 'net_ms': 265.46499242386784, 'seg_hops': 4, 'payload_mb': 0.3828125}, {'m_src': 'resnet_layer2', 'm_dst': 'swin_stage2_b0', 'compute_ms': 42.65863937923999, 'net_ms': 228.90218905908705, 'seg_hops': 4, 'payload_mb': 0.19140625}, {'m_src': 'swin_stage2_b0', 'm_dst': 'swin_stage2_b1', 'compute_ms': 48.30718597941635, 'net_ms': 185.5143547315369, 'seg_hops': 4, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage2_b1', 'm_dst': 'swin_stage3', 'compute_ms': 32.54875260271496, 'net_ms': 131.42968698833397, 'seg_hops': 3, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 18.01947877830739, 'net_ms': 161.34410536708754, 'seg_hops': 3, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'swin_tail_extras', 'compute_ms': 78.42985496583272, 'net_ms': 104.24491130967934, 'seg_hops': 2, 'payload_mb': 0.07177734375}, {'m_src': 'swin_tail_extras', 'm_dst': 'head', 'compute_ms': 31.437297682815398, 'net_ms': 93.10734593487615, 'seg_hops': 2, 'payload_mb': 0.00146484375}]"
0,Round-Robin,extract-frames,1,90.47,1144.1080289909585,,20,1.58056640625,4.59814453125,1144.1080289909585,1144.1080289909585,False,70.0,1074.1080289909585,1534.4400414156548,,0.9586249999999907,,"[{'m_src': 'swin_patch_embed', 'm_dst': 'swin_stage1_b0', 'compute_ms': 58.2480067106467, 'net_ms': 253.79265291773032, 'seg_hops': 4, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1_b0', 'm_dst': 'swin_stage1_b1', 'compute_ms': 28.063513138319784, 'net_ms': 150.70959903785874, 'seg_hops': 3, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage1_b1', 'm_dst': 'swin_stage2_b0', 'compute_ms': 17.075666964718312, 'net_ms': 133.23729079090987, 'seg_hops': 2, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2_b0', 'm_dst': 'swin_stage2_b1', 'compute_ms': 17.743479975632667, 'net_ms': 126.99195609736677, 'seg_hops': 2, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage2_b1', 'm_dst': 'swin_stage3', 'compute_ms': 17.61318929562644, 'net_ms': 116.06292888602263, 'seg_hops': 2, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 15.009437860433557, 'net_ms': 108.05196495549413, 'seg_hops': 2, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'swin_tail_extras', 'compute_ms': 36.07433482249034, 'net_ms': 104.59899153993646, 'seg_hops': 2, 'payload_mb': 0.07177734375}, {'m_src': 'swin_tail_extras', 'm_dst': 'head', 'compute_ms': 16.330958376230118, 'net_ms': 150.66264476563964, 'seg_hops': 3, 'payload_mb': 0.00146484375}]"
0,SLO-first,object-det,3,89.01,395.0,395.0,9,1.19775390625,1.4130859375,0.0,395.0,False,70.0,325.0,464.2857142857143,True,12.256042000000022,111.0,
0,Best-Acc,object-det,1,90.47,1231.9688373838374,,21,1.58056640625,4.5263671875,1231.9688373838374,1231.9688373838374,False,70.0,1161.9688373838374,1659.9554819769105,,0.8860840000000092,,"[{'m_src': 'swin_patch_embed', 'm_dst': 'swin_stage1_b0', 'compute_ms': 40.66549560543277, 'net_ms': 323.01970967904197, 'seg_hops': 4, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1_b0', 'm_dst': 'swin_stage1_b1', 'compute_ms': 37.280725500567755, 'net_ms': 117.25367785286238, 'seg_hops': 2, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage1_b1', 'm_dst': 'swin_stage2_b0', 'compute_ms': 34.40200893772144, 'net_ms': 123.84177329688765, 'seg_hops': 2, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2_b0', 'm_dst': 'swin_stage2_b1', 'compute_ms': 21.486763002349345, 'net_ms': 106.84439050387364, 'seg_hops': 2, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage2_b1', 'm_dst': 'swin_stage3', 'compute_ms': 34.25701653350135, 'net_ms': 166.61282028711673, 'seg_hops': 3, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 15.712521221539195, 'net_ms': 96.30770285732524, 'seg_hops': 2, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'swin_tail_extras', 'compute_ms': 20.11279049917531, 'net_ms': 147.18897356088175, 'seg_hops': 3, 'payload_mb': 0.07177734375}, {'m_src': 'swin_tail_extras', 'm_dst': 'head', 'compute_ms': 51.24138482598205, 'net_ms': 150.8997893458479, 'seg_hops': 3, 'payload_mb': 0.00146484375}]"
0,Lowest-Latency,object-det,3,89.01,566.8267808079796,,10,1.19775390625,1.41455078125,566.8267808079796,566.8267808079796,False,70.0,496.8267808079796,709.7525440113994,,20.236582999999975,,"[{'m_src': 'resnet_stem', 'm_dst': 'resnet_layer1', 'compute_ms': 17.190791868457058, 'net_ms': 72.91265021178509, 'seg_hops': 1, 'payload_mb': 0.3828125}, {'m_src': 'resnet_layer1', 'm_dst': 'swin_stage2_b0', 'compute_ms': 9.88566998918004, 'net_ms': 66.73743187402299, 'seg_hops': 1, 'payload_mb': 0.3828125}, {'m_src': 'swin_stage2_b0', 'm_dst': 'swin_stage2_b1', 'compute_ms': 23.584985109158364, 'net_ms': 64.35825459146017, 'seg_hops': 1, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage2_b1', 'm_dst': 'swin_stage3', 'compute_ms': 13.786903618831683, 'net_ms': 118.1389961675088, 'seg_hops': 2, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 15.739002008665658, 'net_ms': 56.65053234164249, 'seg_hops': 1, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'swin_tail_extras', 'compute_ms': 18.431890673975357, 'net_ms': 111.71561431093882, 'seg_hops': 2, 'payload_mb': 0.07177734375}, {'m_src': 'swin_tail_extras', 'm_dst': 'head', 'compute_ms': 48.11463002551652, 'net_ms': 76.31330131062127, 'seg_hops': 2, 'payload_mb': 0.00146484375}]"
0,Random,object-det,3,89.01,1028.8736844929163,,21,1.19775390625,3.42431640625,1028.8736844929163,1028.8736844929163,False,70.0,958.8736844929163,1369.8195492755947,,1.2594160000000132,,"[{'m_src': 'resnet_stem', 'm_dst': 'resnet_layer1', 'compute_ms': 11.385370003857966, 'net_ms': 181.58992420642653, 'seg_hops': 4, 'payload_mb': 0.3828125}, {'m_src': 'resnet_layer1', 'm_dst': 'swin_stage2_b0', 'compute_ms': 16.536037511613014, 'net_ms': 39.289918373085065, 'seg_hops': 1, 'payload_mb': 0.3828125}, {'m_src': 'swin_stage2_b0', 'm_dst': 'swin_stage2_b1', 'compute_ms': 22.586239834205053, 'net_ms': 189.32926288907336, 'seg_hops': 4, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage2_b1', 'm_dst': 'swin_stage3', 'compute_ms': 41.06594312865405, 'net_ms': 177.02458022913729, 'seg_hops': 3, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 15.158664051579878, 'net_ms': 163.33878074493825, 'seg_hops': 3, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'swin_tail_extras', 'compute_ms': 41.11124336210799, 'net_ms': 207.4598158383305, 'seg_hops': 4, 'payload_mb': 0.07177734375}, {'m_src': 'swin_tail_extras', 'm_dst': 'head', 'compute_ms': 39.223471462716645, 'net_ms': 70.84140221192501, 'seg_hops': 2, 'payload_mb': 0.00146484375}]"
0,Round-Robin,object-det,1,90.47,1534.6661823491538,,28,1.58056640625,5.96337890625,1534.6661823491538,1534.6661823491538,False,70.0,1464.6661823491538,2092.380260498791,,1.2026669999999906,,"[{'m_src': 'swin_patch_embed', 'm_dst': 'swin_stage1_b0', 'compute_ms': 44.28890181364824, 'net_ms': 299.1927456219702, 'seg_hops': 4, 'payload_mb': 0.57421875}, {'m_src': 'swin_stage1_b0', 'm_dst': 'swin_stage1_b1', 'compute_ms': 40.47556811392443, 'net_ms': 245.16291601916566, 'seg_hops': 4, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage1_b1', 'm_dst': 'swin_stage2_b0', 'compute_ms': 39.773240776004194, 'net_ms': 211.467657747759, 'seg_hops': 4, 'payload_mb': 0.287109375}, {'m_src': 'swin_stage2_b0', 'm_dst': 'swin_stage2_b1', 'compute_ms': 22.754929306907744, 'net_ms': 200.53368149760956, 'seg_hops': 4, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage2_b1', 'm_dst': 'swin_stage3', 'compute_ms': 38.20281508599202, 'net_ms': 170.76830220990942, 'seg_hops': 3, 'payload_mb': 0.1435546875}, {'m_src': 'swin_stage3', 'm_dst': 'swin_stage4', 'compute_ms': 12.146923837232116, 'net_ms': 109.53457692274593, 'seg_hops': 2, 'payload_mb': 0.07177734375}, {'m_src': 'swin_stage4', 'm_dst': 'swin_tail_extras', 'compute_ms': 27.34604216511391, 'net_ms': 122.29001826996175, 'seg_hops': 3, 'payload_mb': 0.07177734375}, {'m_src': 'swin_tail_extras', 'm_dst': 'head', 'compute_ms': 20.475416093336694, 'net_ms': 175.71628406003236, 'seg_hops': 4, 'payload_mb': 0.00146484375}]"
