profile,strategy,slo_violation_pct_task_slo
extract-frames,Best-Acc,5.457970888544446
extract-frames,Lowest-Latency,0.0
extract-frames,Random,43.39939033587884
extract-frames,Round-Robin,14.410802899095849
extract-frames,SLO-first,0.0
object-det,Best-Acc,23.196883738383736
object-det,Lowest-Latency,0.0
object-det,Random,2.887368449291625
object-det,Round-Robin,53.46661823491539
object-det,SLO-first,0.0
prepare-ds,Best-Acc,0.0
prepare-ds,Lowest-Latency,0.0
prepare-ds,Random,35.16262761013127
prepare-ds,Round-Robin,32.42838855890468
prepare-ds,SLO-first,0.0
