profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,22.0,22.0,22.0,22.0
extract-frames,Lowest-Latency,13.0,13.0,13.0,13.0
extract-frames,Random,26.0,26.0,26.0,26.0
extract-frames,Round-Robin,20.0,20.0,20.0,20.0
extract-frames,SLO-first,12.0,12.0,12.0,12.0
object-det,Best-Acc,21.0,21.0,21.0,21.0
object-det,Lowest-Latency,10.0,10.0,10.0,10.0
object-det,Random,21.0,21.0,21.0,21.0
object-det,Round-Robin,28.0,28.0,28.0,28.0
object-det,SLO-first,9.0,9.0,9.0,9.0
prepare-ds,Best-Acc,17.0,17.0,17.0,17.0
prepare-ds,Lowest-Latency,14.0,14.0,14.0,14.0
prepare-ds,Random,25.0,25.0,25.0,25.0
prepare-ds,Round-Robin,23.0,23.0,23.0,23.0
prepare-ds,SLO-first,11.0,11.0,11.0,11.0
