strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99,selector_mean,selector_median,selector_p95,selector_p99,ssp_mean,ssp_median,ssp_p95,ssp_p99
Best-Acc,4297.191663471509,4297.191663471509,4297.191663471509,4297.191663471509,90.47,4.74169921875,4.74169921875,4.74169921875,4.74169921875,15.44970703125,15.44970703125,15.44970703125,15.44970703125,81.0,81.0,81.0,81.0,3.9537079999999447,3.9537079999999447,3.9537079999999447,3.9537079999999447,0.0,0.0,0.0,0.0
Lowest-Latency,1529.5886371041156,1529.5886371041156,1529.5886371041156,1529.5886371041156,88.07,3.35400390625,3.35400390625,3.35400390625,3.35400390625,4.69677734375,4.69677734375,4.69677734375,4.69677734375,29.0,29.0,29.0,29.0,55.64525100000006,55.64525100000006,55.64525100000006,55.64525100000006,0.0,0.0,0.0,0.0
Random,4197.652307565837,4197.652307565837,4197.652307565837,4197.652307565837,88.07,4.40673828125,4.40673828125,4.40673828125,4.40673828125,14.060546875,14.060546875,14.060546875,14.060546875,77.0,77.0,77.0,77.0,4.474874999999989,4.474874999999989,4.474874999999989,4.474874999999989,0.0,0.0,0.0,0.0
Round-Robin,3976.4884348550695,3976.4884348550695,3976.4884348550695,3976.4884348550695,89.01,4.55029296875,4.55029296875,4.55029296875,4.55029296875,13.31591796875,13.31591796875,13.31591796875,13.31591796875,76.0,76.0,76.0,76.0,3.115374999999976,3.115374999999976,3.115374999999976,3.115374999999976,0.0,0.0,0.0,0.0
SLO-first,1295.0,1295.0,1295.0,1295.0,89.01,3.59326171875,3.59326171875,3.59326171875,3.59326171875,4.9091796875,4.9091796875,4.9091796875,4.9091796875,30.0,30.0,30.0,30.0,52.616706999999984,52.616706999999984,52.616706999999984,52.616706999999984,693.0,693.0,693.0,693.0
