profile,strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99,selector_mean,selector_median,selector_p95,selector_p99,ssp_mean,ssp_median,ssp_p95,ssp_p99
extract-frames,Best-Acc,1054.5797088854445,1054.5797088854445,1054.5797088854445,1054.5797088854445,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,5.81689453125,5.81689453125,5.81689453125,5.81689453125,22.0,22.0,22.0,22.0,0.8472499999999661,0.8472499999999661,0.8472499999999661,0.8472499999999661,,,,
extract-frames,Lowest-Latency,691.5072697230628,691.5072697230628,691.5072697230628,691.5072697230628,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,2.08447265625,2.08447265625,2.08447265625,2.08447265625,13.0,13.0,13.0,13.0,21.242917000000027,21.242917000000027,21.242917000000027,21.242917000000027,,,,
extract-frames,Random,1433.9939033587884,1433.9939033587884,1433.9939033587884,1433.9939033587884,86.76,1.38916015625,1.38916015625,1.38916015625,1.38916015625,5.19482421875,5.19482421875,5.19482421875,5.19482421875,26.0,26.0,26.0,26.0,1.6812499999999675,1.6812499999999675,1.6812499999999675,1.6812499999999675,,,,
extract-frames,Round-Robin,1144.1080289909585,1144.1080289909585,1144.1080289909585,1144.1080289909585,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,4.59814453125,4.59814453125,4.59814453125,4.59814453125,20.0,20.0,20.0,20.0,0.9586249999999907,0.9586249999999907,0.9586249999999907,0.9586249999999907,,,,
extract-frames,SLO-first,525.0,525.0,525.0,525.0,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,1.94091796875,1.94091796875,1.94091796875,1.94091796875,12.0,12.0,12.0,12.0,12.776542000000003,12.776542000000003,12.776542000000003,12.776542000000003,118.0,118.0,118.0,118.0
object-det,Best-Acc,1231.9688373838374,1231.9688373838374,1231.9688373838374,1231.9688373838374,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,4.5263671875,4.5263671875,4.5263671875,4.5263671875,21.0,21.0,21.0,21.0,0.8860840000000092,0.8860840000000092,0.8860840000000092,0.8860840000000092,,,,
object-det,Lowest-Latency,566.8267808079796,566.8267808079796,566.8267808079796,566.8267808079796,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,1.41455078125,1.41455078125,1.41455078125,1.41455078125,10.0,10.0,10.0,10.0,20.236582999999975,20.236582999999975,20.236582999999975,20.236582999999975,,,,
object-det,Random,1028.8736844929163,1028.8736844929163,1028.8736844929163,1028.8736844929163,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,3.42431640625,3.42431640625,3.42431640625,3.42431640625,21.0,21.0,21.0,21.0,1.2594160000000132,1.2594160000000132,1.2594160000000132,1.2594160000000132,,,,
object-det,Round-Robin,1534.6661823491538,1534.6661823491538,1534.6661823491538,1534.6661823491538,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,5.96337890625,5.96337890625,5.96337890625,5.96337890625,28.0,28.0,28.0,28.0,1.2026669999999906,1.2026669999999906,1.2026669999999906,1.2026669999999906,,,,
object-det,SLO-first,395.0,395.0,395.0,395.0,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,1.4130859375,1.4130859375,1.4130859375,1.4130859375,9.0,9.0,9.0,9.0,12.256042000000022,12.256042000000022,12.256042000000022,12.256042000000022,111.0,111.0,111.0,111.0
prepare-ds,Best-Acc,997.4864589617526,997.4864589617526,997.4864589617526,997.4864589617526,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,3.37646484375,3.37646484375,3.37646484375,3.37646484375,17.0,17.0,17.0,17.0,0.8512910000000318,0.8512910000000318,0.8512910000000318,0.8512910000000318,,,,
prepare-ds,Lowest-Latency,703.5228820009452,703.5228820009452,703.5228820009452,703.5228820009452,88.07,1.05419921875,1.05419921875,1.05419921875,1.05419921875,1.94091796875,1.94091796875,1.94091796875,1.94091796875,14.0,14.0,14.0,14.0,21.996457999999997,21.996457999999997,21.996457999999997,21.996457999999997,,,,
prepare-ds,Random,1351.6262761013127,1351.6262761013127,1351.6262761013127,1351.6262761013127,89.99,1.77197265625,1.77197265625,1.77197265625,1.77197265625,5.435546875,5.435546875,5.435546875,5.435546875,25.0,25.0,25.0,25.0,1.707041999999992,1.707041999999992,1.707041999999992,1.707041999999992,,,,
prepare-ds,Round-Robin,1324.2838855890468,1324.2838855890468,1324.2838855890468,1324.2838855890468,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,4.45458984375,4.45458984375,4.45458984375,4.45458984375,23.0,23.0,23.0,23.0,1.0566250000000332,1.0566250000000332,1.0566250000000332,1.0566250000000332,,,,
prepare-ds,SLO-first,445.0,445.0,445.0,445.0,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,2.03662109375,2.03662109375,2.03662109375,2.03662109375,11.0,11.0,11.0,11.0,11.756666999999998,11.756666999999998,11.756666999999998,11.756666999999998,107.0,107.0,107.0,107.0
