profile,strategy,acc_mean
extract-frames,Best-Acc,90.47
extract-frames,Lowest-Latency,90.47
extract-frames,Random,86.76
extract-frames,Round-Robin,90.47
extract-frames,SLO-first,90.47
object-det,Best-Acc,90.47
object-det,Lowest-Latency,89.01
object-det,Random,89.01
object-det,Round-Robin,90.47
object-det,SLO-first,89.01
prepare-ds,Best-Acc,90.47
prepare-ds,Lowest-Latency,88.07
prepare-ds,Random,89.99
prepare-ds,Round-Robin,90.47
prepare-ds,SLO-first,89.01
