strategy,mean,median,p95,p99
Best-Acc,81.0,81.0,81.0,81.0
Lowest-Latency,29.0,29.0,29.0,29.0
Random,77.0,77.0,77.0,77.0
Round-Robin,76.0,76.0,76.0,76.0
SLO-first,30.0,30.0,30.0,30.0
