profile,strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
default,Best-Acc,9291.300918673365,9275.363695786096,11237.699709690432,12165.828507386288,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.201060791015625,20.328369140625,29.750830078125,33.25609863281249,107.9225,107.0,142.0,151.01999999999998
default,Lowest-Latency,6478.166442390389,6479.376259809023,7769.592656965579,8251.28121729507,94.0652,1.1290869140625,1.05419921875,1.24560546875,1.58056640625,13.678419189453125,12.739990234375,20.32578125,23.570800781249993,79.5675,77.0,107.0,121.02999999999997
default,Random,8406.362243832187,8289.288733176802,11046.051900989845,12029.814910793253,94.340725,1.35123779296875,1.24560546875,1.77197265625,1.77197265625,18.28730224609375,17.69921875,28.363916015625,31.383203124999994,100.49,100.0,142.04999999999995,154.01
default,Round-Robin,8454.581065105986,8337.930264399798,11118.011280649154,12184.627907750306,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.3232763671875,17.38232421875,29.26806640624999,32.39005859375,100.745,98.0,142.0,157.0
default,SLO-first,6452.991465146135,6481.965411768132,7781.1258725952175,8371.726597158526,94.05957500000001,1.12310546875,1.05419921875,1.24560546875,1.58056640625,13.777686767578125,12.74755859375,21.313793945312497,24.977773437499998,79.505,77.5,111.0,120.01999999999998
fast,Best-Acc,9226.047698949935,9138.311391083174,11311.969769912565,12183.751039496005,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.317281494140627,20.39794921875,31.093579101562494,34.27844238281249,108.895,105.5,149.0,163.01
fast,Lowest-Latency,6416.642613963723,6462.244399751418,7627.32773749617,7869.885862403573,94.0528,1.12370361328125,1.05419921875,1.24560546875,1.3910742187499983,13.756361083984375,12.912841796875,20.930493164062497,23.46783691406249,80.4,79.0,108.04999999999995,123.0
fast,Random,8294.15100879522,8309.905087729963,10871.801036626011,11914.655414364624,94.3524,1.3403515625,1.24560546875,1.77197265625,1.77197265625,18.19368408203125,17.40625,27.3199951171875,32.67568359375,100.315,99.0,137.04999999999995,157.01
fast,Round-Robin,8359.86145399927,8192.181046196987,11048.346763648598,11715.691013680309,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.122330322265626,17.681640625,26.488305664062487,31.7908154296875,100.88,98.0,141.0,157.02999999999997
fast,SLO-first,6372.373632158852,6361.146907053331,7694.307629971075,8063.093196248691,94.0325,1.118798828125,1.05419921875,1.24560546875,1.38916015625,13.482396240234374,12.6435546875,20.735253906249998,23.6829833984375,79.665,77.0,110.0,121.01999999999998
heavy,Best-Acc,9502.730897997455,9389.980439791201,11624.203488286457,12307.208188208835,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.059293212890626,19.9833984375,29.71040039062496,34.48497070312498,106.63,106.5,138.04999999999995,150.03999999999996
heavy,Lowest-Latency,6608.238329447875,6603.263193102888,7888.053810271007,8400.396428221355,94.061525,1.1219091796875,1.05419921875,1.24560546875,1.38916015625,13.6791748046875,12.791015625,21.221679687499993,23.2091357421875,79.0775,76.0,106.0,118.0
heavy,Random,8451.598700441285,8283.644507805078,11133.23946409977,12236.884003671266,94.353575,1.3291064453125,1.24560546875,1.77197265625,1.77197265625,18.202332763671876,17.613525390625,28.133935546874998,31.526708984375,98.5375,97.0,140.0,153.0
heavy,Round-Robin,8594.709381072564,8414.18129676568,11264.032070954572,12245.728327452603,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.383173828125,17.250244140625,28.551342773437494,31.584179687499986,100.0975,97.5,142.04999999999995,161.0
heavy,SLO-first,6554.696951260179,6566.712071541078,7667.226746166728,8153.338271102246,94.04952499999999,1.120712890625,1.05419921875,1.24560546875,1.58056640625,13.58237060546875,12.74169921875,20.768115234374992,23.182011718749994,78.675,76.0,106.04999999999995,115.01999999999998
