run,strategy,stitch_id,met_slo,utility,latency_ms,payload_mb,link_mb,hop_count,acc,profile
0,SLO-first,4,False,-73.94403331515936,5348.759522511383,1.05419921875,9.9228515625,61,93.86,fast
0,Best-Acc,1,False,,8331.619748103352,1.58056640625,22.62158203125,112,95.16,fast
0,Lowest-Latency,4,False,,4772.5286981893105,1.05419921875,8.318359375,54,93.86,fast
0,Random,4,False,,6274.070328056927,1.05419921875,11.9326171875,65,93.86,fast
0,Round-Robin,1,False,,7759.998378399371,1.58056640625,21.97265625,101,95.16,fast
1,SLO-first,4,False,-82.80021789175238,5981.34413512517,1.05419921875,13.8466796875,69,93.86,fast
1,Best-Acc,1,False,,7720.700275735832,1.58056640625,16.87646484375,75,95.16,fast
1,Lowest-Latency,4,False,,6992.209728670987,1.05419921875,15.9833984375,82,93.86,fast
1,Random,6,False,,6394.488503017518,1.24560546875,13.99755859375,78,94.59,fast
1,Round-Robin,2,False,,10027.967232708643,1.77197265625,21.83642578125,110,94.99,fast
2,SLO-first,3,False,-104.07556325035499,7501.190232168214,1.19775390625,15.88623046875,99,94.11,fast
2,Best-Acc,1,False,,7380.057308637307,1.58056640625,15.90087890625,105,95.16,fast
2,Lowest-Latency,6,False,,6870.081799672627,1.24560546875,12.5810546875,100,94.59,fast
2,Random,2,False,,8755.500163660254,1.77197265625,17.73583984375,117,94.99,fast
2,Round-Robin,3,False,,7157.09251450705,1.19775390625,15.9892578125,104,94.11,fast
3,SLO-first,4,False,-88.73763718160225,6405.445512971589,1.05419921875,12.8671875,65,93.86,fast
3,Best-Acc,1,False,,10555.493287733463,1.58056640625,21.6240234375,107,95.16,fast
3,Lowest-Latency,7,False,,6365.389143098723,1.24560546875,11.36572265625,67,94.56,fast
3,Random,1,False,,7742.908209990538,1.58056640625,13.59814453125,90,95.16,fast
3,Round-Robin,4,False,,6706.755972529623,1.05419921875,10.53271484375,83,93.86,fast
4,SLO-first,4,False,-91.76213719178938,6621.481227984955,1.05419921875,12.93115234375,83,93.86,fast
4,Best-Acc,1,False,,9537.938148753454,1.58056640625,18.1962890625,118,95.16,fast
4,Lowest-Latency,4,False,,6748.618526556177,1.05419921875,12.0009765625,91,93.86,fast
4,Random,1,False,,8918.221927052084,1.58056640625,17.619140625,108,95.16,fast
4,Round-Robin,5,False,,8780.17741235191,1.38916015625,15.5556640625,107,93.38,fast
5,SLO-first,7,False,-106.76101262938599,7693.32947352757,1.24560546875,18.4345703125,98,94.56,fast
5,Best-Acc,1,False,,9050.794395538507,1.58056640625,20.466796875,103,95.16,fast
5,Lowest-Latency,6,False,,6936.959232988927,1.24560546875,17.9560546875,85,94.59,fast
5,Random,4,False,,6934.61553235657,1.05419921875,17.0244140625,85,93.86,fast
5,Round-Robin,6,False,,7937.9252024801235,1.24560546875,17.990234375,98,94.59,fast
6,SLO-first,4,False,-89.75219488030136,6477.913920021526,1.05419921875,16.6923828125,81,93.86,fast
6,Best-Acc,1,False,,10329.132031501766,1.58056640625,22.26708984375,123,95.16,fast
6,Lowest-Latency,4,False,,5730.042949432481,1.05419921875,15.0654296875,73,93.86,fast
6,Random,3,False,,8390.865849022133,1.19775390625,24.083984375,120,94.11,fast
6,Round-Robin,7,False,,7448.391923515796,1.24560546875,17.0751953125,88,94.56,fast
7,SLO-first,3,False,-85.52537772151847,6176.176980108463,1.19775390625,11.45263671875,66,94.11,fast
7,Best-Acc,1,False,,8676.136134319806,1.58056640625,16.458984375,86,95.16,fast
7,Lowest-Latency,4,False,,6110.631645383218,1.05419921875,9.07470703125,72,93.86,fast
7,Random,4,False,,7934.784578826545,1.05419921875,14.296875,84,93.86,fast
7,Round-Robin,1,False,,7675.211315968571,1.58056640625,15.234375,76,95.16,fast
8,SLO-first,4,False,-89.4263471241515,6454.639080296536,1.05419921875,12.88671875,71,93.86,fast
8,Best-Acc,1,False,,8196.972217637654,1.58056640625,17.103515625,92,95.16,fast
8,Lowest-Latency,4,False,,6044.28346667161,1.05419921875,11.833984375,63,93.86,fast
8,Random,5,False,,7992.287839440577,1.38916015625,15.2568359375,93,93.38,fast
8,Round-Robin,2,False,,10270.65667392086,1.77197265625,20.970703125,113,94.99,fast
9,SLO-first,4,False,-73.57751345579749,5322.5795325569625,1.05419921875,9.94384765625,57,93.86,fast
9,Best-Acc,1,False,,8914.181917673593,1.58056640625,22.125,112,95.16,fast
9,Lowest-Latency,4,False,,6224.61526639033,1.05419921875,11.97607421875,67,93.86,fast
9,Random,4,False,,5623.819043272509,1.05419921875,10.3955078125,61,93.86,fast
9,Round-Robin,3,False,,7815.221202020641,1.19775390625,18.08447265625,97,94.11,fast
10,SLO-first,3,False,-84.619907961838,6111.500568702715,1.19775390625,12.580078125,85,94.11,fast
10,Best-Acc,1,False,,8298.169010086152,1.58056640625,21.63720703125,135,95.16,fast
10,Lowest-Latency,4,False,,7650.044832017646,1.05419921875,19.3837890625,102,93.86,fast
10,Random,4,False,,9947.19939365983,1.05419921875,26.4521484375,133,93.86,fast
10,Round-Robin,4,False,,6990.817608190217,1.05419921875,16.57373046875,101,93.86,fast
11,SLO-first,4,False,-86.97771068988513,6279.736477848937,1.05419921875,16.84326171875,90,93.86,fast
11,Best-Acc,1,False,,10890.527002500012,1.58056640625,32.02734375,153,95.16,fast
11,Lowest-Latency,3,False,,6648.478480433919,1.19775390625,14.220703125,87,94.11,fast
11,Random,7,False,,7325.60549495999,1.24560546875,15.5556640625,96,94.56,fast
11,Round-Robin,5,False,,10438.666564838146,1.38916015625,20.02685546875,130,93.38,fast
12,SLO-first,4,False,-80.12173142771154,5790.023673407967,1.05419921875,15.44677734375,72,93.86,fast
12,Best-Acc,1,False,,8840.22468349386,1.58056640625,18.0380859375,87,95.16,fast
12,Lowest-Latency,4,False,,5830.446717635244,1.05419921875,14.0576171875,72,93.86,fast
12,Random,4,False,,7968.876183000102,1.05419921875,19.73388671875,88,93.86,fast
12,Round-Robin,6,False,,7340.922637864437,1.24560546875,17.595703125,85,94.59,fast
13,SLO-first,4,False,-98.28854468047085,7087.653191462203,1.05419921875,17.53125,90,93.86,fast
