profile,strategy,acc_mean
default,Best-Acc,95.16
default,Lowest-Latency,94.0652
default,Random,94.340725
default,Round-Robin,94.38052499999999
default,SLO-first,94.05957500000001
fast,Best-Acc,95.16
fast,Lowest-Latency,94.0528
fast,Random,94.3524
fast,Round-Robin,94.38052499999999
fast,SLO-first,94.0325
heavy,Best-Acc,95.16
heavy,Lowest-Latency,94.061525
heavy,Random,94.353575
heavy,Round-Robin,94.38052499999999
heavy,SLO-first,94.04952499999999
