profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,16.334375000000456,16.334375000000456,16.334375000000456,16.334375000000456
extract-frames,Lowest-Latency,51510.670125000004,51510.670125000004,51510.670125000004,51510.670125000004
extract-frames,Random,22.835332999996183,22.835332999996183,22.835332999996183,22.835332999996183
extract-frames,Round-Robin,16.812207999997497,16.812207999997497,16.812207999997497,16.812207999997497
extract-frames,SLO-first,1254.609625,1254.609625,1254.609625,1254.609625
object-det,Best-Acc,22.337208999999802,22.337208999999802,22.337208999999802,22.337208999999802
object-det,Lowest-Latency,16538.648125000007,16538.648125000007,16538.648125000007,16538.648125000007
object-det,Random,26.396417000000838,26.396417000000838,26.396417000000838,26.396417000000838
object-det,Round-Robin,19.706708000001072,19.706708000001072,19.706708000001072,19.706708000001072
object-det,SLO-first,2622.880875000007,2622.880875000007,2622.880875000007,2622.880875000007
prepare-ds,Best-Acc,21.186749999998256,21.186749999998256,21.186749999998256,21.186749999998256
prepare-ds,Lowest-Latency,41400.984500000006,41400.984500000006,41400.984500000006,41400.984500000006
prepare-ds,Random,32.27033400000323,32.27033400000323,32.27033400000323,32.27033400000323
prepare-ds,Round-Robin,17.924417000017456,17.924417000017456,17.924417000017456,17.924417000017456
prepare-ds,SLO-first,1292.7049579999875,1292.7049579999875,1292.7049579999875,1292.7049579999875
