profile,strategy,acc_mean
extract-frames,Best-Acc,90.47
extract-frames,Lowest-Latency,88.07
extract-frames,Random,84.74
extract-frames,Round-Robin,89.01
extract-frames,SLO-first,89.01
object-det,Best-Acc,90.47
object-det,Lowest-Latency,82.24
object-det,Random,82.24
object-det,Round-Robin,82.24
object-det,SLO-first,89.01
prepare-ds,Best-Acc,90.47
prepare-ds,Lowest-Latency,88.07
prepare-ds,Random,89.01
prepare-ds,Round-Robin,89.01
prepare-ds,SLO-first,89.01
