profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,5613.126214917235,5613.126214917235,5613.126214917235,5613.126214917235
extract-frames,Lowest-Latency,485.0404820340323,485.0404820340323,485.0404820340323,485.0404820340323
extract-frames,Random,7709.955123885193,7709.955123885193,7709.955123885193,7709.955123885193
extract-frames,Round-Robin,5399.5864186828985,5399.5864186828985,5399.5864186828985,5399.5864186828985
extract-frames,SLO-first,385.0,385.0,385.0,385.0
object-det,Best-Acc,8470.778158255138,8470.778158255138,8470.778158255138,8470.778158255138
object-det,Lowest-Latency,539.3671697616672,539.3671697616672,539.3671697616672,539.3671697616672
object-det,Random,4118.627074695747,4118.627074695747,4118.627074695747,4118.627074695747
object-det,Round-Robin,4188.839420846508,4188.839420846508,4188.839420846508,4188.839420846508
object-det,SLO-first,320.0,320.0,320.0,320.0
prepare-ds,Best-Acc,6835.32955773826,6835.32955773826,6835.32955773826,6835.32955773826
prepare-ds,Lowest-Latency,499.05098901667395,499.05098901667395,499.05098901667395,499.05098901667395
prepare-ds,Random,7030.2448899739165,7030.2448899739165,7030.2448899739165,7030.2448899739165
prepare-ds,Round-Robin,6027.6148952860585,6027.6148952860585,6027.6148952860585,6027.6148952860585
prepare-ds,SLO-first,315.0,315.0,315.0,315.0
