strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99
Best-Acc,26747.088647887816,26747.088647887816,26747.088647887816,26747.088647887816,90.47,4.74169921875,4.74169921875,4.74169921875,4.74169921875,135.4833984375,135.4833984375,135.4833984375,135.4833984375,625.0,625.0,625.0,625.0
Lowest-Latency,1839.9407716189326,1839.9407716189326,1839.9407716189326,1839.9407716189326,82.24,3.73681640625,3.73681640625,3.73681640625,3.73681640625,6.95166015625,6.95166015625,6.95166015625,6.95166015625,45.0,45.0,45.0,45.0
Random,17939.101195528456,17939.101195528456,17939.101195528456,17939.101195528456,88.07,3.35400390625,3.35400390625,3.35400390625,3.35400390625,84.10546875,84.10546875,84.10546875,84.10546875,423.0,423.0,423.0,423.0
Round-Robin,22391.354916720236,22391.354916720236,22391.354916720236,22391.354916720236,86.76,4.21533203125,4.21533203125,4.21533203125,4.21533203125,88.88623046875,88.88623046875,88.88623046875,88.88623046875,532.0,532.0,532.0,532.0
SLO-first,1095.0,1095.0,1095.0,1095.0,90.47,3.97607421875,3.97607421875,3.97607421875,3.97607421875,5.1962890625,5.1962890625,5.1962890625,5.1962890625,29.0,29.0,29.0,29.0
