profile,strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99,selector_mean,selector_median,selector_p95,selector_p99,ssp_mean,ssp_median,ssp_p95,ssp_p99
extract-frames,Best-Acc,4849.651080945968,4849.651080945968,4849.651080945968,4849.651080945968,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.83203125,21.83203125,21.83203125,21.83203125,108.0,108.0,108.0,108.0,16.334375000000456,16.334375000000456,16.334375000000456,16.334375000000456,,,,
extract-frames,Lowest-Latency,445.5835268444796,445.5835268444796,445.5835268444796,445.5835268444796,88.07,1.05419921875,1.05419921875,1.05419921875,1.05419921875,1.43701171875,1.43701171875,1.43701171875,1.43701171875,7.0,7.0,7.0,7.0,51510.670125000004,51510.670125000004,51510.670125000004,51510.670125000004,,,,
extract-frames,Random,5417.016906515311,5417.016906515311,5417.016906515311,5417.016906515311,84.74,1.24560546875,1.24560546875,1.24560546875,1.24560546875,24.20166015625,24.20166015625,24.20166015625,24.20166015625,128.0,128.0,128.0,128.0,22.835332999996183,22.835332999996183,22.835332999996183,22.835332999996183,,,,
extract-frames,Round-Robin,5928.048633146658,5928.048633146658,5928.048633146658,5928.048633146658,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,22.47509765625,22.47509765625,22.47509765625,22.47509765625,141.0,141.0,141.0,141.0,16.812207999997497,16.812207999997497,16.812207999997497,16.812207999997497,,,,
extract-frames,SLO-first,350.0,350.0,350.0,350.0,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,1.7958984375,1.7958984375,1.7958984375,1.7958984375,10.0,10.0,10.0,10.0,1254.609625,1254.609625,1254.609625,1254.609625,17760.0,17760.0,17760.0,17760.0
object-det,Best-Acc,7586.461016201517,7586.461016201517,7586.461016201517,7586.461016201517,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,27.544921875,27.544921875,27.544921875,27.544921875,180.0,180.0,180.0,180.0,22.337208999999802,22.337208999999802,22.337208999999802,22.337208999999802,,,,
object-det,Lowest-Latency,486.2147042720003,486.2147042720003,486.2147042720003,486.2147042720003,82.24,1.24560546875,1.24560546875,1.24560546875,1.24560546875,2.4658203125,2.4658203125,2.4658203125,2.4658203125,12.0,12.0,12.0,12.0,16538.648125000007,16538.648125000007,16538.648125000007,16538.648125000007,,,,
object-det,Random,6582.632790323059,6582.632790323059,6582.632790323059,6582.632790323059,82.24,1.24560546875,1.24560546875,1.24560546875,1.24560546875,20.77880859375,20.77880859375,20.77880859375,20.77880859375,160.0,160.0,160.0,160.0,26.396417000000838,26.396417000000838,26.396417000000838,26.396417000000838,,,,
object-det,Round-Robin,6627.070628944862,6627.070628944862,6627.070628944862,6627.070628944862,82.24,1.24560546875,1.24560546875,1.24560546875,1.24560546875,24.21240234375,24.21240234375,24.21240234375,24.21240234375,157.0,157.0,157.0,157.0,19.706708000001072,19.706708000001072,19.706708000001072,19.706708000001072,,,,
object-det,SLO-first,350.0,350.0,350.0,350.0,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,1.7958984375,1.7958984375,1.7958984375,1.7958984375,10.0,10.0,10.0,10.0,2622.880875000007,2622.880875000007,2622.880875000007,2622.880875000007,38800.0,38800.0,38800.0,38800.0
prepare-ds,Best-Acc,8290.863946245896,8290.863946245896,8290.863946245896,8290.863946245896,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,38.7802734375,38.7802734375,38.7802734375,38.7802734375,196.0,196.0,196.0,196.0,21.186749999998256,21.186749999998256,21.186749999998256,21.186749999998256,,,,
prepare-ds,Lowest-Latency,556.5498320725465,556.5498320725465,556.5498320725465,556.5498320725465,88.07,1.05419921875,1.05419921875,1.05419921875,1.05419921875,1.72705078125,1.72705078125,1.72705078125,1.72705078125,12.0,12.0,12.0,12.0,41400.984500000006,41400.984500000006,41400.984500000006,41400.984500000006,,,,
prepare-ds,Random,6896.040654956867,6896.040654956867,6896.040654956867,6896.040654956867,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,21.95654296875,21.95654296875,21.95654296875,21.95654296875,163.0,163.0,163.0,163.0,32.27033400000323,32.27033400000323,32.27033400000323,32.27033400000323,,,,
prepare-ds,Round-Robin,5801.734358344615,5801.734358344615,5801.734358344615,5801.734358344615,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,21.365234375,21.365234375,21.365234375,21.365234375,137.0,137.0,137.0,137.0,17.924417000017456,17.924417000017456,17.924417000017456,17.924417000017456,,,,
prepare-ds,SLO-first,365.0,365.0,365.0,365.0,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,1.4130859375,1.4130859375,1.4130859375,1.4130859375,10.0,10.0,10.0,10.0,1292.7049579999875,1292.7049579999875,1292.7049579999875,1292.7049579999875,18480.0,18480.0,18480.0,18480.0
