profile,strategy,mean,median,p95,p99
default,Best-Acc,109.2825,107.0,142.0,157.01999999999998
default,Lowest-Latency,78.905,77.0,102.04999999999995,117.0
default,Random,102.32,99.0,137.04999999999995,163.01999999999998
default,Round-Robin,100.8275,99.0,136.0999999999999,152.05999999999995
default,SLO-first,79.4925,78.0,105.0,118.0
fast,Best-Acc,109.5525,107.0,137.0,158.0
fast,Lowest-Latency,79.71,77.0,107.04999999999995,114.00999999999999
fast,Random,102.235,100.0,141.0,152.01
fast,Round-Robin,101.735,100.5,139.0,158.02999999999997
fast,SLO-first,79.665,77.0,103.04999999999995,113.0
heavy,Best-Acc,108.11,105.0,138.04999999999995,156.01999999999998
heavy,Lowest-Latency,79.18,76.0,104.04999999999995,114.01999999999998
heavy,Random,100.0775,98.5,135.0,151.01
heavy,Round-Robin,100.48,98.0,135.04999999999995,148.01
heavy,SLO-first,78.35,76.0,103.0,115.01999999999998
