strategy,mean,median,p95,p99
Best-Acc,30668.638477288874,30619.206727685203,34018.14699826368,35914.84322672633
Lowest-Latency,21015.96866336884,21001.776622055742,23250.602538239636,23745.10530367296
Random,27611.048204703457,27624.566038445722,32556.957788332467,34501.40035813878
Round-Robin,27454.350629144486,27097.359488597114,31897.861788962753,34423.60858529637
SLO-first,21054.911848382988,21020.92863565586,23082.736078757116,24683.174000288847
