strategy,mean,median,p95,p99
Best-Acc,4.74169921875,4.74169921875,4.74169921875,4.74169921875
Lowest-Latency,3.3748193359375,3.35400390625,3.68896484375,3.73681640625
Random,4.0634033203125,4.02392578125,4.74169921875,5.126425781249998
Round-Robin,4.0631640625,4.02392578125,4.59814453125,4.59814453125
SLO-first,3.35974609375,3.35400390625,3.68896484375,3.88037109375
