strategy,mean,median,p95,p99
Best-Acc,28956.651993372972,28878.848278381076,32079.50320983062,33505.632818342936
Lowest-Latency,19930.513779766447,19859.782799076933,22059.463001832482,22970.473442133898
Random,25621.891116297935,25637.0615593975,29722.406633189632,31787.480004885343
Round-Robin,26010.398261447648,25740.63248194477,30644.924553188743,31954.917080607785
SLO-first,20069.49308624819,20064.494135012945,22339.059095600154,22726.067413854147
