strategy,mean,median,p95,p99
Best-Acc,325.7,322.0,379.0,394.0799999999999
Lowest-Latency,235.285,235.0,284.15,303.06999999999994
Random,295.905,298.0,345.15,382.1899999999998
Round-Robin,299.105,295.5,355.04999999999995,384.06999999999994
SLO-first,239.95,235.0,287.04999999999995,308.05999999999995
