profile,strategy,mean,median,p95,p99
default,Best-Acc,108.1925,105.0,141.04999999999995,158.01
default,Lowest-Latency,78.235,75.0,107.04999999999995,130.0
default,Random,98.9775,95.0,137.04999999999995,158.01
default,Round-Robin,99.505,97.0,141.04999999999995,155.01
default,SLO-first,77.5925,74.0,107.0,127.0
fast,Best-Acc,109.0525,107.0,143.0,159.0
fast,Lowest-Latency,79.335,76.0,108.0,121.02999999999997
fast,Random,100.0375,98.0,140.0999999999999,156.01999999999998
fast,Round-Robin,101.38,97.0,146.0,158.0
fast,SLO-first,80.085,78.0,108.0,119.05999999999995
heavy,Best-Acc,108.44,107.0,142.0999999999999,157.0
heavy,Lowest-Latency,78.3275,74.5,108.0,124.00999999999999
heavy,Random,99.685,98.0,138.0,153.02999999999997
heavy,Round-Robin,99.33,98.0,135.0,149.02999999999997
heavy,SLO-first,78.6775,74.0,107.04999999999995,120.01999999999998
