strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
Best-Acc,28956.651993372972,28878.848278381076,32079.50320983062,33505.632818342936,95.16,4.74169921875,4.74169921875,4.74169921875,4.74169921875,64.04390625,62.69091796875,77.92807617187498,82.6017333984375,325.7,322.0,379.0,394.0799999999999
Lowest-Latency,19930.513779766447,19859.782799076933,22059.463001832482,22970.473442133898,94.06745000000001,3.380322265625,3.35400390625,3.6913574218749994,3.88037109375,40.1470556640625,39.66015625,50.66867675781249,55.244453125,235.285,235.0,284.15,303.06999999999994
Random,25621.891116297935,25637.0615593975,29722.406633189632,31787.480004885343,94.30985000000001,4.0241650390625,4.02392578125,4.78955078125,4.93310546875,53.68470947265625,52.93994140625,66.04606933593747,73.8740478515625,295.905,298.0,345.15,382.1899999999998
Round-Robin,26010.398261447648,25740.63248194477,30644.924553188743,31954.917080607785,94.3707,4.0631640625,4.02392578125,4.59814453125,4.59814453125,55.05906494140625,53.80859375,71.5720703125,77.893779296875,299.105,295.5,355.04999999999995,384.06999999999994
SLO-first,20069.49308624819,20064.494135012945,22339.059095600154,22726.067413854147,94.0546,3.3561572265625,3.35400390625,3.64111328125,3.689443359375,41.01319091796875,39.86962890625,51.47578125,57.764995117187475,239.95,235.0,287.04999999999995,308.05999999999995
