profile,strategy,acc_mean
default,Best-Acc,95.16
default,Lowest-Latency,94.061675
default,Random,94.379125
default,Round-Robin,94.38052499999999
default,SLO-first,94.066125
fast,Best-Acc,95.16
fast,Lowest-Latency,94.06112499999999
fast,Random,94.361275
fast,Round-Robin,94.38052499999999
fast,SLO-first,94.07745000000001
heavy,Best-Acc,95.16
heavy,Lowest-Latency,94.07610000000001
heavy,Random,94.34100000000001
heavy,Round-Robin,94.38052499999999
heavy,SLO-first,94.04965
