strategy,mean,median,p95,p99
Best-Acc,203.9,215.0,240.04999999999998,244.01
Lowest-Latency,49.2,48.0,57.74999999999999,59.55
Random,216.2,223.5,269.9,276.38
Round-Robin,211.4,211.0,264.44999999999993,278.49
SLO-first,35.8,34.5,40.65,41.730000000000004
