profile,strategy,slo_violation_pct_task_slo
extract-frames,Best-Acc,100.0
extract-frames,Lowest-Latency,100.0
extract-frames,Random,100.0
extract-frames,Round-Robin,100.0
extract-frames,SLO-first,100.0
object-det,Best-Acc,100.0
object-det,Lowest-Latency,100.0
object-det,Random,100.0
object-det,Round-Robin,100.0
object-det,SLO-first,100.0
prepare-ds,Best-Acc,100.0
prepare-ds,Lowest-Latency,100.0
prepare-ds,Random,100.0
prepare-ds,Round-Robin,100.0
prepare-ds,SLO-first,100.0
