run,strategy,profile,stitch_id,acc,latency_ms,net_base_ms,hop_count,payload_mb,link_mb,compute_ms,net_latency_ms,met_slo,met_dual_slo,selection_time_ms,ssp_calls
0,SLO-first,extract-frames,3,89.01,385.0,385.0,9,1.19775390625,1.34130859375,0.0,385.0,False,True,725.952333,1870.0
0,Best-Acc,extract-frames,1,90.47,2536.72857141209,,57,1.58056640625,11.6337890625,2536.72857141209,2536.72857141209,False,,1.8504999999999772,
0,Lowest-Latency,extract-frames,5,86.76,946.9616406027337,,21,1.38916015625,3.59033203125,946.9616406027337,946.9616406027337,False,,71.16458400000015,
0,Random,extract-frames,3,89.01,3296.1543766003547,,74,1.19775390625,11.77978515625,3296.1543766003547,3296.1543766003547,False,,3.4493330000000544,
0,Round-Robin,extract-frames,1,90.47,2084.760547937965,,46,1.58056640625,9.703125,2084.760547937965,2084.760547937965,False,,1.5766659999998378,
0,SLO-first,object-det,3,89.01,490.0,490.0,14,1.19775390625,2.4658203125,0.0,490.0,False,True,336.52745799999997,814.0
0,Best-Acc,object-det,1,90.47,3019.815731411432,,69,1.58056640625,11.41552734375,3019.815731411432,3019.815731411432,False,,2.176292000000135,
0,Lowest-Latency,object-det,7,82.24,657.400963386125,,16,1.24560546875,2.3984375,657.400963386125,657.400963386125,False,,69.03808399999977,
0,Random,object-det,7,82.24,2978.1738773061406,,71,1.24560546875,13.103515625,2978.1738773061406,2978.1738773061406,False,,3.029958000000388,
0,Round-Robin,object-det,1,90.47,2562.915897918281,,59,1.58056640625,10.27880859375,2562.915897918281,2562.915897918281,False,,1.8302500000002553,
0,SLO-first,prepare-ds,3,89.01,455.0,455.0,13,1.19775390625,2.32373046875,0.0,455.0,False,True,327.5260000000002,814.0
0,Best-Acc,prepare-ds,1,90.47,2992.258168318399,,66,1.58056640625,14.2880859375,2992.258168318399,2992.258168318399,False,,2.28904200000013,
0,Lowest-Latency,prepare-ds,7,82.24,1117.4536370546798,,26,1.24560546875,3.75927734375,1117.4536370546798,1117.4536370546798,False,,70.9057500000001,
0,Random,prepare-ds,4,88.07,2177.4737650921415,,50,1.05419921875,6.97412109375,2177.4737650921415,2177.4737650921415,False,,2.339916000000386,
0,Round-Robin,prepare-ds,1,90.47,2293.5891641931853,,49,1.58056640625,11.2705078125,2293.5891641931853,2293.5891641931853,False,,1.8076669999995687,
