strategy,mean,median,p95,p99
Best-Acc,9060.247613282518,9539.183718972748,10588.301895497458,10756.904963692026
Lowest-Latency,2169.4264128376535,2171.3814410603536,2549.277021133642,2590.0178615567747
Random,9436.944374975408,9771.170435673168,11530.305370807864,11726.884726940852
Round-Robin,9299.032280889156,9265.93345040884,11495.419953005607,12091.284057116563
SLO-first,1426.5,1442.5,1496.5,1507.3
