strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
Best-Acc,27006.489695535693,26935.620534554422,30515.347627751464,31823.78247200562,95.16,4.74169921875,4.74169921875,4.74169921875,4.74169921875,65.92046630859375,64.648681640625,81.13908691406249,88.26858398437494,332.75,329.0,386.04999999999995,415.03999999999996
Lowest-Latency,18655.75422739564,18537.051542207708,20980.685350600557,22215.414449123637,94.07549999999999,3.3834326171875,3.35400390625,3.7416015624999983,4.024404296875,41.65400634765625,41.599853515625,52.59887695312498,57.168017578124996,244.04,240.0,297.2499999999999,337.0899999999999
Random,24194.147556025484,24150.684646258782,28733.964622695494,29489.573211820003,94.38545,4.035888671875,4.02392578125,4.74169921875,4.9369335937499965,56.67489990234375,56.076416015625,74.67509765624999,79.53630371093749,308.35,308.5,380.04999999999995,394.03999999999996
Round-Robin,24489.63529626001,24321.4812574249,29218.70368100005,30700.496063523606,94.3707,4.0631640625,4.02392578125,4.59814453125,4.59814453125,57.04582275390625,56.684814453125,72.37790527343749,80.77340820312499,310.265,308.0,376.0,414.14999999999986
SLO-first,18551.181840283567,18691.76206423802,20299.874935535212,21048.15120890763,94.0714,3.3767333984375,3.35400390625,3.64111328125,4.02392578125,41.22931640625,40.96923828125,50.74194335937499,58.377685546875,243.375,243.0,293.09999999999997,312.0899999999999
