strategy,mean,median,p95,p99
Best-Acc,27006.489695535693,26935.620534554422,30515.347627751464,31823.78247200562
Lowest-Latency,18655.75422739564,18537.051542207708,20980.685350600557,22215.414449123637
Random,24194.147556025484,24150.684646258782,28733.964622695494,29489.573211820003
Round-Robin,24489.63529626001,24321.4812574249,29218.70368100005,30700.496063523606
SLO-first,18551.181840283567,18691.76206423802,20299.874935535212,21048.15120890763
