profile,strategy,mean,median,p95,p99
default,Best-Acc,111.27,111.0,147.0999999999999,159.0
default,Lowest-Latency,81.4075,80.0,112.04999999999995,120.00999999999999
default,Random,102.3825,100.0,143.0,163.01
default,Round-Robin,101.75,100.0,142.0,158.02999999999997
default,SLO-first,81.6075,81.0,111.0,126.01999999999998
fast,Best-Acc,108.9325,108.0,148.04999999999995,157.01999999999998
fast,Lowest-Latency,81.23,81.0,113.04999999999995,124.02999999999997
fast,Random,103.0425,103.0,143.04999999999995,163.03999999999996
fast,Round-Robin,102.02,99.0,147.0999999999999,172.02999999999997
fast,SLO-first,82.02,82.0,112.09999999999991,127.0
heavy,Best-Acc,110.945,110.0,148.0,165.01
heavy,Lowest-Latency,80.8625,81.0,110.09999999999991,127.01999999999998
heavy,Random,101.17,100.0,141.04999999999995,170.01
heavy,Round-Robin,102.3825,101.0,144.0,163.05999999999995
heavy,SLO-first,81.5425,81.0,116.0,125.05999999999995
