run,strategy,profile,stitch_id,acc,latency_ms,net_base_ms,hop_count,payload_mb,link_mb,payload_mb_cached,link_mb_cached,compute_ms,net_latency_ms,met_slo,slo_ms,slo_excess_ms,slo_excess_pct,met_dual_slo,net_obj_ms,soft_slo_score,v_lat_ms,v_lat_norm,v_acc,v_acc_norm,lat_target_ms,acc_target,valid,selection_time_ms,ssp_calls
0,SLO-first,extract-frames,1,91.62,695.1861085485808,1615.0,13,1.1484375,1.8662109375,0.57421875,8.0390625,152.421134197133,542.7649743514478,True,1000.0,0.0,0.0,True,1615.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,846.5364169999999,58
1,SLO-first,extract-frames,1,91.62,599.3643310561911,1670.0,10,1.1484375,1.65087890625,0.57421875,5.16796875,187.4938728346801,411.870458221511,True,1000.0,0.0,0.0,True,1670.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,830.9815410000003,56
2,SLO-first,extract-frames,1,91.62,599.348746983496,1020.0,11,1.1484375,2.009765625,0.57421875,2.296875,161.8172050928101,437.53154189068584,True,1000.0,0.0,0.0,True,1020.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,823.0651249999999,60
3,SLO-first,extract-frames,1,91.62,591.087701234427,1815.0,9,1.1484375,1.435546875,0.57421875,5.7421875,193.55180074868858,397.53590048573835,True,1000.0,0.0,0.0,True,1815.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,815.3366670000004,60
4,SLO-first,extract-frames,1,91.62,652.2130431017981,2090.0,12,1.1484375,2.7275390625,0.57421875,3.4453125,176.46017005148806,475.7528730503101,True,1000.0,0.0,0.0,True,2090.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,816.0335420000005,54
5,SLO-first,extract-frames,1,91.62,544.9933479680687,1985.0,10,1.1484375,1.65087890625,0.57421875,3.4453125,154.5221040737154,390.4712438943533,True,1000.0,0.0,0.0,True,1985.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,798.4282089999999,60
6,SLO-first,extract-frames,1,91.62,390.5714532576293,2100.0,6,1.1484375,1.2919921875,0.57421875,3.4453125,154.89136400079872,235.68008925683054,True,1000.0,0.0,0.0,True,2100.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,817.5422919999988,60
7,SLO-first,extract-frames,1,91.62,479.3443550477613,1740.0,8,1.1484375,1.50732421875,0.57421875,4.01953125,158.45274839392482,320.8916066538365,True,1000.0,0.0,0.0,True,1740.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,857.3866250000002,60
8,SLO-first,extract-frames,1,91.62,599.3722989811545,1565.0,10,1.1484375,1.5791015625,0.57421875,1.1484375,173.89096505852223,425.48133392263225,True,1000.0,0.0,0.0,True,1565.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,824.5141670000003,60
9,SLO-first,extract-frames,1,91.62,444.7029256003897,1565.0,7,1.1484375,1.50732421875,0.57421875,4.01953125,166.3484485767245,278.3544770236652,True,1000.0,0.0,0.0,True,1565.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,822.6975830000001,60
10,SLO-first,extract-frames,1,91.62,456.8527736064119,2020.0,7,1.1484375,1.5791015625,0.57421875,6.31640625,159.75320983921878,297.0995637671931,True,1000.0,0.0,0.0,True,2020.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,821.8811249999991,60
11,SLO-first,extract-frames,1,91.62,648.1545089508452,1530.0,12,1.1484375,1.93798828125,0.57421875,4.01953125,184.30870808604817,463.84580086479696,True,1000.0,0.0,0.0,True,1530.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,832.8633330000006,60
12,SLO-first,extract-frames,1,91.62,733.5449481793434,1530.0,10,1.1484375,1.93798828125,0.57421875,5.7421875,233.85367169978443,499.69127647955895,True,1000.0,0.0,0.0,True,1530.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,811.8788750000015,60
13,SLO-first,extract-frames,1,91.62,727.7699371393996,1040.0,14,1.1484375,2.296875,0.57421875,4.01953125,161.50117643619453,566.2687607032051,True,1000.0,0.0,0.0,True,1040.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,807.342792,60
14,SLO-first,extract-frames,1,91.62,629.1996466473136,1495.0,10,1.1484375,1.8662109375,0.57421875,1.1484375,206.36134630817216,422.8383003391414,True,1000.0,0.0,0.0,True,1495.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,772.9199999999992,60
15,SLO-first,extract-frames,1,91.62,496.7409219442121,1565.0,8,1.1484375,1.36376953125,0.57421875,4.59375,170.33483779878233,326.4060841454298,True,1000.0,0.0,0.0,True,1565.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,852.5477919999993,60
16,SLO-first,extract-frames,1,91.62,510.88094581413907,1110.0,9,1.1484375,1.72265625,0.57421875,2.87109375,159.8826587195708,350.99828709456824,True,1000.0,0.0,0.0,True,1110.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,853.5390000000014,60
17,SLO-first,extract-frames,1,91.62,716.2727585364803,1565.0,12,1.1484375,2.08154296875,0.57421875,2.87109375,190.04139728037924,526.2313612561011,True,1000.0,0.0,0.0,True,1565.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,845.4805830000005,60
18,SLO-first,extract-frames,1,91.62,534.845770639179,1425.0,10,1.1484375,1.93798828125,0.57421875,2.296875,154.7720773310849,380.0736933080941,True,1000.0,0.0,0.0,True,1425.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,774.4871670000002,58
19,SLO-first,extract-frames,1,91.62,560.4231583390074,1180.0,10,1.1484375,2.1533203125,0.57421875,8.61328125,171.20457382280935,389.218584516198,True,1000.0,0.0,0.0,True,1180.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,832.8574169999996,60
20,SLO-first,extract-frames,1,91.62,717.0909659227136,1635.0,12,1.1484375,1.8662109375,0.57421875,4.59375,191.13453332225703,525.9564326004565,True,1000.0,0.0,0.0,True,1635.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,796.1817909999986,56
21,SLO-first,extract-frames,1,91.62,566.1320869576209,1740.0,9,1.1484375,1.65087890625,0.57421875,2.296875,208.42126804727042,357.71081891035044,True,1000.0,0.0,0.0,True,1740.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,860.2690830000022,60
22,SLO-first,extract-frames,1,91.62,662.4454545667926,1320.0,11,1.1484375,1.79443359375,0.57421875,1.72265625,199.64369907401786,462.80175549277476,True,1000.0,0.0,0.0,True,1320.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,805.4697910000002,60
23,SLO-first,extract-frames,1,91.62,470.4457858279295,1600.0,8,1.1484375,1.5791015625,0.57421875,2.296875,158.69147398168184,311.7543118462477,True,1000.0,0.0,0.0,True,1600.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,799.9598750000025,60
24,SLO-first,extract-frames,1,91.62,522.9914624995008,2335.0,9,1.1484375,1.435546875,0.57421875,7.46484375,168.66539733545903,354.3260651640417,True,1000.0,0.0,0.0,True,2335.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,796.8144590000002,56
25,SLO-first,extract-frames,1,91.62,587.3512168630399,1600.0,11,1.1484375,2.08154296875,0.57421875,2.296875,152.57237638806922,434.7788404749707,True,1000.0,0.0,0.0,True,1600.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,820.1543750000013,60
26,SLO-first,extract-frames,1,91.62,539.1468374547978,1320.0,9,1.1484375,1.93798828125,0.57421875,4.59375,177.87565768968108,361.2711797651167,True,1000.0,0.0,0.0,True,1320.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,838.8037920000002,60
27,SLO-first,extract-frames,1,91.62,764.3687664865311,1880.0,11,1.1484375,1.8662109375,0.57421875,5.16796875,241.90469179227256,522.4640746942586,True,1000.0,0.0,0.0,True,1880.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,824.529708,60
28,SLO-first,extract-frames,1,91.62,836.6613842362689,1600.0,16,1.1484375,2.79931640625,0.57421875,4.59375,170.14195931720033,666.5194249190686,True,1000.0,0.0,0.0,True,1600.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,846.7358340000004,60
29,SLO-first,extract-frames,1,91.62,682.3555973895974,1075.0,11,1.1484375,2.1533203125,0.57421875,2.296875,202.6594625892515,479.69613480034593,True,1000.0,0.0,0.0,True,1075.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,822.5051249999992,60
30,SLO-first,extract-frames,1,91.62,484.0245132170601,1565.0,8,1.1484375,1.5791015625,0.57421875,4.01953125,168.04156375753755,315.98294945952256,True,1000.0,0.0,0.0,True,1565.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,775.0129160000015,56
31,SLO-first,extract-frames,1,91.62,578.8363197650467,1845.0,10,1.1484375,2.009765625,0.57421875,6.31640625,162.80234774458702,416.03397202045966,True,1000.0,0.0,0.0,True,1845.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,821.6646249999968,60
32,SLO-first,extract-frames,1,91.62,674.9791663337464,1880.0,11,1.1484375,1.72265625,0.57421875,6.890625,219.3489266728701,455.6302396608763,True,1000.0,0.0,0.0,True,1880.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,846.8914589999983,56
33,SLO-first,extract-frames,1,91.62,448.8270116926916,1215.0,7,1.1484375,1.2919921875,0.57421875,1.1484375,170.55064658308243,278.2763651096092,True,1000.0,0.0,0.0,True,1215.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,817.084666999996,60
34,SLO-first,extract-frames,1,91.62,623.7198589309596,1320.0,9,1.1484375,1.79443359375,0.57421875,3.4453125,199.36131981301855,424.358539117941,True,1000.0,0.0,0.0,True,1320.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,820.8795420000001,60
35,SLO-first,extract-frames,1,91.62,623.4427404216872,1675.0,12,1.1484375,2.36865234375,0.57421875,4.59375,158.26881677060368,465.17392365108356,True,1000.0,0.0,0.0,True,1675.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,821.0483750000037,60
36,SLO-first,extract-frames,1,91.62,424.1321213042934,1745.0,6,1.1484375,1.435546875,0.57421875,2.296875,183.80155687091016,240.33056443338324,True,1000.0,0.0,0.0,True,1745.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,823.237749999997,58
37,SLO-first,extract-frames,1,91.62,639.525054448738,1530.0,12,1.1484375,1.8662109375,0.57421875,4.01953125,187.18461334217233,452.3404411065658,True,1000.0,0.0,0.0,True,1530.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,804.4333340000023,56
38,SLO-first,extract-frames,1,91.62,536.9054900623883,1320.0,9,1.1484375,1.72265625,0.57421875,6.31640625,168.59077741623798,368.3147126461503,True,1000.0,0.0,0.0,True,1320.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,830.4840830000018,60
39,SLO-first,extract-frames,1,91.62,466.2309811087096,1180.0,8,1.1484375,1.5791015625,0.57421875,5.7421875,158.07690238025742,308.1540787284522,True,1000.0,0.0,0.0,True,1180.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,778.5178330000022,60
40,SLO-first,extract-frames,1,91.62,592.7933372729084,1565.0,8,1.1484375,1.5791015625,0.57421875,1.1484375,201.88153004238936,390.91180723051906,True,1000.0,0.0,0.0,True,1565.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,819.8642500000019,58
41,SLO-first,extract-frames,1,91.62,612.309134705363,1530.0,11,1.1484375,1.93798828125,0.57421875,8.0390625,163.3467422005561,448.962392504807,True,1000.0,0.0,0.0,True,1530.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,821.9107090000009,58
42,SLO-first,extract-frames,1,91.62,545.7094013196936,1705.0,10,1.1484375,1.65087890625,0.57421875,5.16796875,169.37741261904318,376.33198870065047,True,1000.0,0.0,0.0,True,1705.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,827.2645410000052,60
43,SLO-first,extract-frames,1,91.62,467.21288262903624,2020.0,7,1.1484375,1.2919921875,0.57421875,5.16796875,177.84767405772834,289.3652085713079,True,1000.0,0.0,0.0,True,2020.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,809.1749999999962,60
44,SLO-first,extract-frames,1,91.62,532.312342410037,1285.0,9,1.1484375,1.93798828125,0.57421875,1.72265625,166.18012363569684,366.1322187743402,True,1000.0,0.0,0.0,True,1285.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,792.5832080000034,60
45,SLO-first,extract-frames,1,91.62,719.7313266076884,1565.0,9,1.1484375,1.72265625,0.57421875,3.4453125,267.59584081611683,452.13548579157157,True,1000.0,0.0,0.0,True,1565.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,811.6000829999948,60
46,SLO-first,extract-frames,1,91.62,494.67744872551214,1530.0,8,1.1484375,1.8662109375,0.57421875,3.4453125,168.7922892454805,325.88515948003163,True,1000.0,0.0,0.0,True,1530.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,822.6211669999941,60
47,SLO-first,extract-frames,1,91.62,681.9222897948194,1530.0,13,1.1484375,2.296875,0.57421875,5.7421875,179.51322531888414,502.40906447593534,True,1000.0,0.0,0.0,True,1530.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,804.0432499999995,58
48,SLO-first,extract-frames,1,91.62,580.0740966711246,1630.0,10,1.1484375,1.5791015625,0.57421875,8.61328125,174.4711987315762,405.60289793954837,True,1000.0,0.0,0.0,True,1630.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,817.2250419999968,58
49,SLO-first,extract-frames,1,91.62,430.6668149148287,1740.0,6,1.1484375,1.435546875,0.57421875,4.01953125,179.28751256215915,251.37930235266953,True,1000.0,0.0,0.0,True,1740.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,834.5671249999996,60
50,SLO-first,extract-frames,1,91.62,623.4617533006283,1670.0,9,1.1484375,1.8662109375,0.57421875,4.01953125,191.74849617192154,431.7132571287067,True,1000.0,0.0,0.0,True,1670.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,794.6297500000057,60
51,SLO-first,extract-frames,1,91.62,472.716387537776,2125.0,8,1.1484375,1.65087890625,0.57421875,4.59375,150.78043514207755,321.93595239569845,True,1000.0,0.0,0.0,True,2125.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,821.0067920000057,60
52,SLO-first,extract-frames,1,91.62,492.2734056372165,1565.0,8,1.1484375,1.65087890625,0.57421875,5.7421875,160.42717331834393,331.8462323188726,True,1000.0,0.0,0.0,True,1565.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,842.0168330000024,60
53,SLO-first,extract-frames,1,91.62,386.6528174620938,2125.0,5,1.1484375,1.1484375,0.57421875,6.31640625,172.25183111663952,214.40098634545427,True,1000.0,0.0,0.0,True,2125.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,830.9108749999937,54
54,SLO-first,extract-frames,1,91.62,827.2340599572839,1705.0,12,1.1484375,2.009765625,0.57421875,1.72265625,231.43856799291518,595.7954919643687,True,1000.0,0.0,0.0,True,1705.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,820.5837080000009,54
55,SLO-first,extract-frames,1,91.62,381.0674062264756,1560.0,6,1.1484375,1.22021484375,0.57421875,3.4453125,165.7545653470599,215.31284087941572,True,1000.0,0.0,0.0,True,1560.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,817.7647499999949,54
56,SLO-first,extract-frames,1,91.62,417.7762500143518,1425.0,6,1.1484375,1.435546875,0.57421875,4.59375,164.74744170976044,253.02880830459134,True,1000.0,0.0,0.0,True,1425.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,822.0663749999915,60
57,SLO-first,extract-frames,1,91.62,514.6096018183955,1880.0,8,1.1484375,1.5791015625,0.57421875,5.16796875,197.5301557149325,317.07944610346294,True,1000.0,0.0,0.0,True,1880.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,810.2022919999996,60
58,SLO-first,extract-frames,1,91.62,519.1308342210007,1605.0,9,1.1484375,2.08154296875,0.57421875,4.01953125,164.95530357561603,354.1755306453847,True,1000.0,0.0,0.0,True,1605.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,824.7242500000027,60
59,SLO-first,extract-frames,1,91.62,512.7971664748454,1915.0,9,1.1484375,1.93798828125,0.57421875,3.4453125,169.31602598954572,343.48114048529965,True,1000.0,0.0,0.0,True,1915.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,815.4958749999963,60
60,SLO-first,extract-frames,1,91.62,503.19514281236053,1285.0,7,1.1484375,1.2919921875,0.57421875,3.4453125,199.21217521282114,303.9829675995394,True,1000.0,0.0,0.0,True,1285.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,797.1638750000096,58
61,SLO-first,extract-frames,1,91.62,656.2914559448665,1040.0,12,1.1484375,2.51220703125,0.57421875,1.72265625,176.02556407118263,480.26589187368387,True,1000.0,0.0,0.0,True,1040.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,827.3069170000014,60
62,SLO-first,extract-frames,1,91.62,456.3360693811592,1850.0,7,1.1484375,1.2919921875,0.57421875,2.87109375,182.2624497329222,274.073619648237,True,1000.0,0.0,0.0,True,1850.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,836.6373749999951,60
63,SLO-first,extract-frames,1,91.62,503.60649930225486,1775.0,8,1.1484375,1.79443359375,0.57421875,5.7421875,175.72323014240303,327.88326915985186,True,1000.0,0.0,0.0,True,1775.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,783.6137499999865,58
64,SLO-first,extract-frames,1,91.62,464.1417288653224,1460.0,7,1.1484375,1.2919921875,0.57421875,7.46484375,184.1290471632184,280.01268170210403,True,1000.0,0.0,0.0,True,1460.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,832.8627500000039,60
65,SLO-first,extract-frames,1,91.62,701.0180005294953,2230.0,12,1.1484375,2.009765625,0.57421875,4.01953125,193.9179542165592,507.1000463129361,True,1000.0,0.0,0.0,True,2230.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,833.0627079999999,56
66,SLO-first,extract-frames,1,91.62,633.9485745388413,1770.0,9,1.1484375,1.72265625,0.57421875,1.1484375,219.4955372181543,414.453037320687,True,1000.0,0.0,0.0,True,1770.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,829.088750000011,54
67,SLO-first,extract-frames,1,91.62,511.374951147206,1915.0,9,1.1484375,1.72265625,0.57421875,7.46484375,161.01531772658956,350.35963342061643,True,1000.0,0.0,0.0,True,1915.0,0.0,0.0,0.0,0.0,0.0,6000.0,89.0,True,813.0470830000007,60
