strategy,pct_any_viol,pct_both_viol,pct_latency_viol,pct_acc_viol,SLO_L_ms,SLO_A_min,wL,wA,pL,pA,runs,v_L_ms_mean,v_L_ms_median,v_L_ms_p95,v_A_mean,v_A_median,v_A_p95,viol_mag_mean,viol_mag_median,viol_mag_p95,soft_score_mean,soft_score_median,soft_score_p95,latency_ms_mean,latency_ms_median,acc_mean,acc_median
Overall,0.0,0.0,0.0,0.0,1000.0,89.0,0.5,0.5,2.0,2.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.7809838213667,574.2825477513503,91.62,91.62
SLO-first,0.0,0.0,0.0,0.0,1000.0,89.0,0.5,0.5,2.0,2.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.7809838213667,574.2825477513503,91.62,91.62
