profile,strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99,payload_cached_mean,payload_cached_median,payload_cached_p95,payload_cached_p99,link_cached_mean,link_cached_median,link_cached_p95,link_cached_p99,selector_mean,selector_median,selector_p95,selector_p99,ssp_mean,ssp_median,ssp_p95,ssp_p99
extract-frames,SLO-first,572.7569771669972,564.0662868800131,720.1332571342739,827.3283332000738,91.62,1.1484375,1.1484375,1.1484375,1.1484375,1.78869140625,1.72265625,2.51220703125,2.7282568359375006,9.52,9.0,13.0,14.02000000000001,0.57421875,0.57421875,0.57421875,0.57421875,4.031015625,4.01953125,7.46484375,8.61328125,817.3916366899998,820.3690415000011,852.5973523999994,863.1275503300077,58.62,60.0,60.0,60.0
object-det,SLO-first,534.2532222288827,526.098460381196,730.8571153996279,775.6349801195938,91.62,1.1484375,1.1484375,1.1484375,1.1484375,1.8202734375,1.79443359375,2.451196289062499,2.8000341796875006,9.65,10.0,13.049999999999997,14.02000000000001,0.57421875,0.57421875,0.57421875,0.57421875,4.3698046875,4.01953125,7.46484375,8.61328125,820.6796758700006,819.3350630000111,853.6501934499952,871.3025629200209,58.52,60.0,60.0,60.0
prepare-ds,SLO-first,668.33275206822,657.9133482867153,851.2898637144195,935.7412308077866,91.62,1.1484375,1.1484375,1.1484375,1.1484375,1.7549560546875,1.65087890625,2.36865234375,2.6571972656250007,9.28,9.0,13.0,17.02000000000001,0.57421875,0.57421875,0.57421875,0.57421875,4.0941796875,3.4453125,7.46484375,8.0390625,816.7701195899994,816.0315830000116,846.3473118499593,857.1527753299774,58.6,60.0,60.0,60.0
